stat_id,player_id,player_first_name,player_last_name,player_name,player_position,team_id,team_abbr,team_name,game_id,game_date,pie,pace,assist_percentage,assist_ratio,assist_to_turnover,defensive_rating,defensive_rebound_percentage,effective_field_goal_percentage,net_rating,offensive_rating,offensive_rebound_percentage,rebound_percentage,true_shooting_percentage,turnover_ratio,usage_percentage
6873494,140,Kevin,Durant,Kevin Durant,F,11,HOU,Houston Rockets,18447285,2026-01-01,0.144,93.24,0.393,33.3,1.83,115.7,0.119,0.6,12.1,127.8,0.0,0.076,0.656,18.2,0.278
6873495,38017684,Jabari,Smith Jr.,Jabari Smith Jr.,F,11,HOU,Houston Rockets,18447285,2026-01-01,0.07,95.56,0.034,6.7,1.0,100.0,0.121,0.5,30.3,130.3,0.08,0.103,0.543,6.7,0.184
6873496,17896062,Alperen,Sengun,Alperen Sengun,F-C,11,HOU,Houston Rockets,18447285,2026-01-01,0.159,91.25,0.207,27.3,6.0,101.6,0.129,0.667,46.9,148.4,0.095,0.115,0.683,4.5,0.222
6873497,38017695,Tari,Eason,Tari Eason,F,11,HOU,Houston Rockets,18447285,2026-01-01,0.163,99.12,0.0,0.0,0.0,110.9,0.28,1.0,35.8,146.7,0.222,0.265,0.952,11.1,0.188
6873498,56677825,Amen,Thompson,Amen Thompson,G-F,11,HOU,Houston Rockets,18447285,2026-01-01,0.183,90.97,0.125,18.8,3.0,106.5,0.069,0.917,32.9,139.3,0.08,0.074,0.924,6.3,0.183
6873499,1028028519,Reed,Sheppard,Reed Sheppard,G,11,HOU,Houston Rockets,18447285,2026-01-01,0.093,88.06,0.048,7.1,1.0,112.3,0.034,0.545,-1.9,110.3,0.034,0.034,0.568,7.1,0.191
6873500,3547301,Jae'Sean,Tate,Jae'Sean Tate,F,11,HOU,Houston Rockets,18447285,2026-01-01,0.188,93.05,0.167,20.0,0.0,90.0,0.083,0.5,5.5,95.5,0.273,0.174,0.5,0.0,0.154
6873501,158,Dorian,Finney-Smith,Dorian Finney-Smith,F,11,HOU,Houston Rockets,18447285,2026-01-01,0.01,84.8,0.071,25.0,1.0,111.1,0.222,0.0,18.5,129.6,0.077,0.136,0.0,25.0,0.097
6873502,356,Josh,Okogie,Josh Okogie,G,11,HOU,Houston Rockets,18447285,2026-01-01,0.074,84.81,0.143,22.2,1.0,114.3,0.25,0.5,1.5,115.8,0.0,0.132,0.5,22.2,0.159
6873503,213,Aaron,Holiday,Aaron Holiday,G,11,HOU,Houston Rockets,18447285,2026-01-01,0.375,79.6,0.5,33.3,0.0,40.0,0.0,0.75,76.7,116.7,0.0,0.0,0.75,0.0,0.25
6873504,38017707,JD,Davison,JD Davison,G,11,HOU,Houston Rockets,18447285,2026-01-01,0.364,81.82,0.5,100.0,0.0,0.0,0.5,0.0,166.7,166.7,0.0,0.333,0.0,0.0,0.0
6873505,3,Steven,Adams,Steven Adams,C,11,HOU,Houston Rockets,18447285,2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6873506,83,Clint,Capela,Clint Capela,C,11,HOU,Houston Rockets,18447285,2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6873507,188,Jeff,Green,Jeff Green,F,11,HOU,Houston Rockets,18447285,2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6873508,17896027,Ziaire,Williams,Ziaire Williams,G-F,3,BKN,Brooklyn Nets,18447285,2026-01-01,0.144,91.06,0.0,0.0,0.0,133.3,0.048,0.667,-33.3,100.0,0.033,0.039,0.771,0.0,0.155
6873509,56677843,Noah,Clowney,Noah Clowney,F,3,BKN,Brooklyn Nets,18447285,2026-01-01,-0.015,90.23,0.0,0.0,0.0,134.7,0.0,0.444,-36.8,97.9,0.043,0.022,0.455,21.4,0.269
6873510,666508,Nicolas,Claxton,Nicolas Claxton,F-C,3,BKN,Brooklyn Nets,18447285,2026-01-01,0.123,93.13,0.182,15.4,0.0,131.9,0.263,0.5,-38.4,93.5,0.103,0.167,0.486,0.0,0.208
6873511,1057280779,Danny,Wolf,Danny Wolf,F-C,3,BKN,Brooklyn Nets,18447285,2026-01-01,0.072,95.07,0.294,31.3,5.0,137.3,0.158,0.45,-37.3,100.0,0.029,0.075,0.45,6.3,0.172
6873512,1057279425,Drake,Powell,Drake Powell,F,3,BKN,Brooklyn Nets,18447285,2026-01-01,-0.016,91.96,0.071,7.7,0.5,151.0,0.0,0.389,-48.9,102.1,0.0,0.0,0.388,15.4,0.231
6873513,17896048,Cam,Thomas,Cam Thomas,G,3,BKN,Brooklyn Nets,18447285,2026-01-01,0.15,88.88,0.125,5.3,0.25,109.5,0.05,0.731,4.8,114.3,0.0,0.025,0.711,21.1,0.36
6873514,1057275262,Nolan,Traoré,Nolan Traoré,G,3,BKN,Brooklyn Nets,18447285,2026-01-01,-0.057,92.28,0.105,16.7,1.0,109.6,0.0,0.188,6.7,116.3,0.0,0.0,0.188,16.7,0.172
6873515,17896038,Day'Ron,Sharpe,Day'Ron Sharpe,C,3,BKN,Brooklyn Nets,18447285,2026-01-01,0.313,88.83,0.7,53.8,0.0,119.4,0.333,0.667,-2.3,117.1,0.231,0.286,0.667,0.0,0.154
6873516,56677722,Jalen,Wilson,Jalen Wilson,F,3,BKN,Brooklyn Nets,18447285,2026-01-01,0.073,89.2,0.0,0.0,0.0,130.2,0.133,0.75,-10.7,119.5,0.056,0.091,0.862,0.0,0.109
6873517,38017722,Tyrese,Martin,Tyrese Martin,G,3,BKN,Brooklyn Nets,18447285,2026-01-01,0.0,89.25,0.0,0.0,0.0,138.2,0.0,0.5,-23.1,115.2,0.0,0.0,0.5,25.0,0.105
