stat_id,game_id,game_date,player_id,player_name,team_id,team_abbr,period,pie,pace,pace_per_40,possessions,offensive_rating,defensive_rating,net_rating,usage_percentage,true_shooting_percentage,effective_field_goal_percentage,assist_percentage,assist_ratio,assist_to_turnover,turnover_ratio,offensive_rebound_percentage,defensive_rebound_percentage,rebound_percentage,blocks_against,fouls_drawn,points_fast_break,points_off_turnovers,points_paint,points_second_chance,pct_assisted_fgm,pct_unassisted_fgm,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_3pt,pct_pts_paint,pct_pts_fast_break,box_outs,charges_drawn,contested_shots,deflections,loose_balls_recovered_total,screen_assists,screen_assist_points,matchup_minutes,matchup_fg_pct,matchup_player_points,defended_at_rim_fg_pct,speed,distance,touches,passes,contested_fg_pct,uncontested_fg_pct,pct_fga,pct_points,pct_rebounds_total
3011,18446898,2025-10-31,274,Kawhi Leonard,13,LAC,0,0.213,102.67,85.56,78.0,125.6,119.5,6.2,0.244,0.891,0.844,0.192,19.2,2.5,7.7,0.0,0.156,0.077,1.0,5.0,5.0,4.0,8.0,0.0,0.636,0.364,0.5,0.5,0.353,0.441,0.235,0.147,0.0,0.0,1.0,5.0,2.0,1.0,2.0,14:28,0.857,15.0,1.0,4.13,2.45,57.0,35.0,0.5,0.714,0.229,0.347,0.192
3012,18446898,2025-10-31,247,Derrick Jones Jr.,13,LAC,0,0.096,102.86,85.71,61.0,134.4,117.7,16.7,0.154,0.8,0.8,0.042,9.1,0.0,0.0,0.091,0.034,0.059,0.0,0.0,0.0,3.0,10.0,4.0,0.714,0.286,0.5,0.5,0.625,0.375,0.625,0.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,11:25,0.222,6.0,0.5,4.33,2.04,26.0,15.0,1.0,0.5,0.189,0.195,0.143
3013,18446898,2025-10-31,493,Ivica Zubac,13,LAC,0,0.106,99.97,83.31,69.0,131.9,125.4,6.5,0.118,0.799,0.714,0.034,10.0,0.0,0.0,0.036,0.303,0.18,0.0,3.0,0.0,0.0,10.0,4.0,0.8,0.2,1.0,0.0,0.714,0.0,0.714,0.0,4.0,0.0,13.0,2.0,0.0,5.0,14.0,13:16,0.308,12.0,0.429,4.0,2.19,53.0,44.0,0.75,0.667,0.113,0.154,0.423
3014,18446898,2025-10-31,37,Bradley Beal,13,LAC,0,0.034,98.57,82.14,44.0,125.0,116.3,8.7,0.2,0.507,0.438,0.111,16.7,2.0,8.3,0.0,0.042,0.022,0.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.75,0.25,0.444,0.333,0.444,0.222,0.0,0.0,3.0,1.0,0.0,0.0,0.0,8:12,0.6,18.0,0.667,4.41,1.43,23.0,12.0,0.333,0.4,0.19,0.164,0.048
3015,18446898,2025-10-31,192,James Harden,13,LAC,0,0.126,99.56,82.97,81.0,130.9,127.2,3.7,0.275,0.566,0.526,0.467,35.9,3.5,10.3,0.029,0.1,0.068,1.0,5.0,5.0,3.0,8.0,0.0,0.125,0.875,0.316,0.684,0.333,0.5,0.333,0.208,0.0,0.0,7.0,4.0,2.0,0.0,0.0,14:39,0.4,16.0,0.75,3.53,2.25,93.0,65.0,0.571,0.333,0.264,0.226,0.152
3016,18446898,2025-10-31,367,Chris Paul,13,LAC,0,0.13,101.9,84.92,20.0,100.0,116.7,-16.7,0.182,0.375,0.375,0.571,50.0,0.0,0.0,0.111,0.0,0.071,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3:46,0.667,4.0,0.0,3.68,0.53,21.0,16.0,0.0,0.25,0.235,0.15,0.25
3017,18446898,2025-10-31,139,Kris Dunn,13,LAC,0,0.01,103.42,86.19,49.0,116.3,120.4,-4.1,0.127,0.5,0.5,0.0,0.0,0.0,14.3,0.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,0.0,0.333,0.667,0.833,0.167,1.0,0.0,0.667,0.667,1.0,0.0,5.0,3.0,0.0,0.0,0.0,8:23,0.5,19.0,0.0,4.4,1.63,37.0,30.0,0.25,1.0,0.146,0.105,0.0
3018,18446898,2025-10-31,101,John Collins,13,LAC,0,0.162,96.82,80.68,40.0,110.0,133.3,-23.3,0.239,0.67,0.65,0.111,8.3,1.0,8.3,0.056,0.125,0.088,0.0,2.0,4.0,4.0,10.0,2.0,0.833,0.167,0.7,0.3,0.714,0.214,0.714,0.286,1.0,0.0,3.0,1.0,0.0,0.0,0.0,6:56,0.429,7.0,0.0,4.44,1.36,32.0,21.0,0.6,0.6,0.303,0.318,0.214
3019,18446898,2025-10-31,283,Brook Lopez,13,LAC,0,0.017,99.14,82.61,31.0,112.9,125.0,-12.1,0.194,0.255,0.2,0.0,0.0,0.0,14.3,0.067,0.167,0.111,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.4,0.6,0.667,0.0,0.667,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5:09,0.571,9.0,0.5,4.22,0.98,17.0,8.0,1.0,0.0,0.185,0.086,0.273
3020,18446898,2025-10-31,33,Nicolas Batum,13,LAC,0,-0.019,93.61,78.01,33.0,127.3,161.3,-34.0,0.154,0.375,0.375,0.0,0.0,0.0,33.3,0.2,0.125,0.161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,5:52,0.625,13.0,1.0,4.32,1.22,24.0,18.0,0.0,0.333,0.143,0.071,0.357
