stat_id,game_id,game_date,player_id,player_name,team_id,team_abbr,period,pie,pace,pace_per_40,possessions,offensive_rating,defensive_rating,net_rating,usage_percentage,true_shooting_percentage,effective_field_goal_percentage,assist_percentage,assist_ratio,assist_to_turnover,turnover_ratio,offensive_rebound_percentage,defensive_rebound_percentage,rebound_percentage,blocks_against,fouls_drawn,points_fast_break,points_off_turnovers,points_paint,points_second_chance,pct_assisted_fgm,pct_unassisted_fgm,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_3pt,pct_pts_paint,pct_pts_fast_break,box_outs,charges_drawn,contested_shots,deflections,loose_balls_recovered_total,screen_assists,screen_assist_points,matchup_minutes,matchup_fg_pct,matchup_player_points,defended_at_rim_fg_pct,speed,distance,touches,passes,contested_fg_pct,uncontested_fg_pct,pct_fga,pct_points,pct_rebounds_total
2385,18446892,2025-10-31,360,Kelly Oubre Jr.,23,PHI,0,0.074,96.43,80.36,81.0,118.5,111.0,7.5,0.189,0.581,0.625,0.0,0.0,0.0,17.6,0.031,0.157,0.108,2.0,5.0,3.0,3.0,6.0,0.0,1.0,0.0,0.417,0.583,0.353,0.529,0.353,0.176,0.0,0.0,4.0,2.0,0.0,1.0,3.0,17:49,0.471,18.0,1.0,4.07,2.65,57.0,39.0,0.6,0.429,0.19,0.177,0.273
2387,18446892,2025-10-31,38017711,Jabari Walker,23,PHI,0,0.039,92.23,76.86,22.0,113.6,100.0,13.6,0.08,0.5,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.05,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4:48,0.5,5.0,0.0,3.76,0.71,7.0,5.0,0.5,0.0,0.118,0.08,0.167
2390,18446892,2025-10-31,145,Joel Embiid,23,PHI,0,0.184,91.93,76.61,49.0,114.3,114.9,-0.6,0.339,0.622,0.5,0.231,13.6,0.75,18.2,0.045,0.172,0.118,2.0,8.0,0.0,0.0,6.0,0.0,0.833,0.167,0.846,0.154,0.5,0.15,0.3,0.0,0.0,0.0,6.0,0.0,1.0,2.0,5.0,10:28,0.5,16.0,0.5,3.63,1.49,63.0,40.0,0.333,0.571,0.325,0.357,0.333
2392,18446892,2025-10-31,1057261935,VJ Edgecombe,23,PHI,0,0.123,94.85,79.04,79.0,113.9,111.5,2.4,0.136,0.743,0.727,0.2,29.4,5.0,5.9,0.086,0.04,0.059,0.0,1.0,4.0,0.0,6.0,0.0,0.714,0.286,0.636,0.364,0.588,0.353,0.353,0.235,1.0,0.0,2.0,0.0,1.0,0.0,0.0,17:15,0.4,15.0,1.0,4.03,2.6,70.0,57.0,0.5,0.667,0.175,0.189,0.167
2394,18446892,2025-10-31,3547254,Tyrese Maxey,23,PHI,0,0.195,97.9,81.59,89.0,119.1,107.9,11.2,0.24,0.681,0.625,0.5,36.8,2.8,13.2,0.027,0.127,0.087,1.0,4.0,4.0,4.0,6.0,3.0,0.375,0.625,0.438,0.563,0.308,0.462,0.231,0.154,0.0,0.0,7.0,1.0,3.0,0.0,0.0,18:58,0.313,13.0,0.5,4.3,3.0,107.0,80.0,0.4,0.545,0.225,0.245,0.222
2396,18446892,2025-10-31,17895858,Quentin Grimes,23,PHI,0,0.069,98.31,81.93,68.0,100.0,122.1,-22.1,0.237,0.542,0.538,0.176,14.3,1.0,14.3,0.0,0.044,0.025,1.0,2.0,6.0,2.0,8.0,2.0,1.0,0.0,0.462,0.538,0.5,0.375,0.5,0.375,0.0,0.0,4.0,1.0,0.0,0.0,0.0,14:31,0.417,13.0,1.0,4.24,2.25,70.0,49.0,0.667,0.4,0.236,0.235,0.063
2398,18446892,2025-10-31,1028034846,Adem Bona,23,PHI,0,0.054,112.69,93.91,25.0,80.0,111.1,-31.1,0.107,0.5,0.5,0.0,0.0,0.0,33.3,0.091,0.125,0.111,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,4:55,0.0,0.0,0.0,4.52,0.79,11.0,8.0,0.5,0.0,0.111,0.1,0.214
2400,18446892,2025-10-31,1028214238,Justin Edwards,23,PHI,0,0.008,112.41,93.67,29.0,103.4,113.8,-10.3,0.161,0.2,0.2,0.125,16.7,0.0,0.0,0.067,0.25,0.148,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.4,0.6,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5:02,0.714,12.0,1.0,4.68,0.99,24.0,18.0,0.5,0.0,0.238,0.067,0.444
2402,18446892,2025-10-31,17896058,Trendon Watford,23,PHI,0,-0.041,100.71,83.93,24.0,70.8,104.3,-33.5,0.067,0.0,0.0,0.2,33.3,1.0,33.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4:41,0.0,0.0,0.0,4.36,0.81,18.0,15.0,0.0,0.0,0.045,0.0,0.0
2404,18446892,2025-10-31,137,Andre Drummond,23,PHI,0,0.105,102.56,85.47,25.0,128.0,100.0,28.0,0.185,0.63,0.5,0.0,0.0,0.0,0.0,0.0,0.133,0.074,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.333,0.667,0.0,0.5,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,5:13,0.625,11.0,1.0,4.14,0.77,10.0,7.0,0.0,0.333,0.15,0.188,0.25
