odds_id,game_id,vendor,spread_home_value,spread_home_odds,spread_away_value,spread_away_odds,moneyline_home_odds,moneyline_away_odds,total_value,total_over_odds,total_under_odds,updated_at
4956273,18446898,draftkings,-2.5,150,2.5,-195,-520.0,350.0,249.5,-125.0,-105.0,2025-11-01T05:00:09.962Z
5358490,18446898,fanduel,-3.5,-136,3.5,102,-620.0,400.0,247.5,-114.0,-114.0,2025-11-01T05:00:42.161Z
5363964,18446898,caesars,-6.5,-115,6.5,-115,-1400.0,750.0,242.5,-110.0,-120.0,2025-11-01T04:59:55.264Z
5375592,18446898,bet365,-1.5,-115,1.5,-115,-200.0,160.0,244.5,-110.0,-120.0,2025-11-01T04:58:46.855Z
5394379,18446898,espnbet,-4.5,190,4.5,-285,-3000.0,1100.0,243.5,-1600.0,700.0,2025-11-01T04:59:25.754Z
5442882,18446898,betmgm,-5.5,120,5.5,-155,-450.0,320.0,250.5,-115.0,-115.0,2025-11-01T05:01:23.565Z
14910826,18447003,fanduel,5.5,118,-5.5,-158,1000.0,-3000.0,269.5,-136.0,102.0,2025-11-15T04:52:42.706Z
14927138,18447003,draftkings,7.5,120,-7.5,-154,1600.0,-4800.0,270.5,-115.0,-115.0,2025-11-15T04:50:13.292Z
14929824,18447003,caesars,1.5,-105,-1.5,-125,1200.0,-4000.0,267.5,-105.0,-125.0,2025-11-15T04:49:59.386Z
14934566,18447003,betmgm,2.5,-130,-2.5,100,-135.0,105.0,234.5,100.0,-130.0,2025-11-15T04:39:24.979Z
15014619,18447003,bet365,6.5,-115,-6.5,-115,1600.0,-6600.0,268.5,-115.0,-115.0,2025-11-15T04:50:46.099Z
15029939,18447003,espnbet,6.5,-575,-6.5,340,1500.0,-4000.0,264.5,500.0,-1000.0,2025-11-15T04:50:32.652Z
396428,18447081,draftkings,-16.5,-154,16.5,120,-100000.0,4000.0,255.5,100.0,-130.0,2025-11-26T06:46:00.231Z
23485568,18447081,fanduel,-16.5,126,16.5,-166,-50000.0,3000.0,254.5,-148.0,112.0,2025-11-26T06:48:45.361Z
23496910,18447081,betrivers,-11.5,-134,11.5,-112,-3335.0,900.0,255,-127.0,-115.0,2025-11-26T06:49:05.733Z
23496959,18447081,ballybet,-9,-117,9,-118,-2500.0,900.0,255,-124.0,-113.0,2025-11-26T06:48:15.287Z
23502381,18447081,caesars,-16.5,-130,16.5,100,-6000.0,1800.0,252.5,100.0,-130.0,2025-11-26T06:46:54.256Z
23508560,18447081,betmgm,-14.5,100,14.5,-130,-10000.0,1650.0,254.5,-102.0,-130.0,2025-11-26T06:47:29.048Z
23531237,18447081,espnbet,-10.5,-130,10.5,100,-1800.0,800.0,253.5,-105.0,-125.0,2025-11-26T07:00:35.149Z
23579247,18447081,bet365,-16.5,-155,16.5,125,-6600.0,1600.0,252.5,-130.0,100.0,2025-11-26T06:48:05.100Z
23707918,18447081,betway,9.5,105,-9.5,-130,-10000.0,1200.0,254.5,-115.0,-110.0,2025-11-26T06:46:29.174Z
23868432,18447081,betparx,-10.5,-122,10.5,-108,-2500.0,1050.0,253.5,-124.0,-108.0,2025-11-26T06:48:35.169Z
25108717,18447101,fanduel,4.5,132,-4.5,-178,1700.0,-10000.0,217.5,108.0,-144.0,2025-11-29T05:25:42.636Z
25120816,18447101,draftkings,7.5,-130,-7.5,100,420.0,-660.0,219.5,-130.0,100.0,2025-11-29T05:24:00.209Z
25167429,18447101,caesars,7.5,-130,-7.5,100,2200.0,-10000.0,216.5,-115.0,-115.0,2025-11-29T05:23:53.617Z
25185503,18447101,espnbet,5.5,-125,-5.5,-105,380.0,-600.0,220.5,100.0,-130.0,2025-11-29T05:27:34.819Z
25216710,18447101,betparx,7.5,-122,-7.5,-109,350.0,-480.0,217.5,-121.0,-110.0,2025-11-29T05:26:35.177Z
25216923,18447101,betrivers,6,-129,-6,-113,700.0,-2500.0,217,-113.0,-129.0,2025-11-29T05:26:05.158Z
25216996,18447101,ballybet,6.5,-105,-6.5,-132,525.0,-1250.0,218.5,-117.0,-118.0,2025-11-29T05:26:15.178Z
25308902,18447101,betway,5.5,-125,-5.5,100,1000.0,-10000.0,218.5,-105.0,-120.0,2025-11-29T05:24:27.592Z
25483686,18447101,betmgm,5.5,105,-5.5,-140,575.0,-1000.0,217.5,-102.0,-130.0,2025-11-29T05:25:27.280Z
26737752,18447101,bet365,4.5,-115,-4.5,-115,1400.0,-4000.0,217.5,-115.0,-115.0,2025-11-29T05:24:04.865Z
1061,18446830,caesars,-22.5,-125,22.5,-105,-5000.0,1400.0,233.5,-140.0,110.0,2025-10-23T03:30:52.406Z
1077,18446830,betmgm,-21.5,-102,21.5,-125,-10000.0,1650.0,232.5,-105.0,-125.0,2025-10-23T03:32:17.816Z
1115,18446830,draftkings,-21.5,150,21.5,-195,-15000.0,2500.0,238.5,-110.0,-120.0,2025-10-23T03:31:13.473Z
1356,18446830,espnbet,-24.5,100,24.5,-125,-6000.0,2000.0,233.5,-2000.0,650.0,2025-10-23T03:31:24.919Z
1423,18446830,fanduel,-23.5,-112,23.5,-118,-50000.0,3500.0,235.5,-152.0,114.0,2025-10-23T03:30:41.906Z
153886,18446830,bet365,10,-110,-10,-110,325.0,-425.0,226,-110.0,-110.0,2025-10-24T00:00:39.788Z
1108154,18446846,draftkings,-27.5,230,27.5,-315,-100000.0,10000.0,232.5,-125.0,-105.0,2025-10-25T05:02:12.346Z
1190634,18446846,caesars,-26.5,-105,26.5,-125,-6000.0,1800.0,231.5,100.0,-130.0,2025-10-25T05:01:53.773Z
