odds_id,game_id,vendor,spread_home_value,spread_home_odds,spread_away_value,spread_away_odds,moneyline_home_odds,moneyline_away_odds,total_value,total_over_odds,total_under_odds,updated_at
1123,18446892,draftkings,1.5,154,-1.5,-200,250.0,-345.0,218.5,-130.0,100.0,2025-11-01T01:39:10.131Z
5345867,18446892,fanduel,5.5,-125,-5.5,-106,210.0,-280.0,220.5,-120.0,-110.0,2025-11-01T01:39:42.118Z
5352382,18446892,caesars,5.5,-110,-5.5,-120,800.0,-1600.0,220.5,-115.0,-115.0,2025-11-01T01:38:55.952Z
5362842,18446892,bet365,1.5,-160,-1.5,130,220.0,-290.0,220.5,-125.0,-105.0,2025-11-01T01:38:46.647Z
5385954,18446892,espnbet,3.5,-1400,-3.5,550,190.0,-250.0,219.5,450.0,-800.0,2025-11-01T01:38:26.597Z
5451289,18446892,betmgm,7.5,118,-7.5,-155,220.0,-350.0,221.5,105.0,-140.0,2025-11-01T01:40:20.098Z
14865877,18446998,fanduel,-9.5,-110,9.5,-120,-20000.0,2000.0,225.5,-122.0,-110.0,2025-11-15T02:54:44.542Z
14921753,18446998,caesars,-9.5,-150,9.5,120,-3000.0,1100.0,225.5,105.0,-135.0,2025-11-15T02:53:08.525Z
14921874,18446998,draftkings,-8.5,-130,8.5,100,-4000.0,1500.0,224.5,-120.0,-110.0,2025-11-15T02:52:16.978Z
14943378,18446998,betmgm,-7.5,-145,7.5,110,-10000.0,1350.0,228.5,-125.0,-105.0,2025-11-15T02:54:29.451Z
14947589,18446998,bet365,-9.5,-115,9.5,-115,-5000.0,1500.0,226.5,105.0,-135.0,2025-11-15T02:53:47.003Z
15029934,18446998,espnbet,-6.5,-125,6.5,-105,-3500.0,1300.0,226.5,120.0,-150.0,2025-11-15T02:53:59.264Z
396427,18447080,draftkings,39.5,114,-39.5,-145,10000.0,-100000.0,247.5,-105.0,-125.0,2025-11-26T03:34:00.228Z
23484928,18447080,fanduel,41.5,-102,-41.5,-130,3000.0,-20000.0,245.5,-114.0,-114.0,2025-11-26T03:37:43.174Z
23531236,18447080,espnbet,20.5,110,-20.5,-140,2000.0,-6000.0,256.5,-125.0,-105.0,2025-11-26T03:46:36.042Z
23541892,18447080,caesars,40.5,110,-40.5,-140,2200.0,-10000.0,242.5,-140.0,110.0,2025-11-26T03:34:54.724Z
23549218,18447080,betmgm,38.5,-110,-38.5,-118,1550.0,-10000.0,247.5,-105.0,-125.0,2025-11-26T03:36:30.522Z
23566110,18447080,betrivers,41.5,-134,-41.5,-109,950.0,-10000.0,245.5,-117.0,-125.0,2025-11-26T03:37:05.754Z
23566152,18447080,ballybet,40.5,-129,-40.5,-109,1200.0,-10000.0,244,-113.0,-122.0,2025-11-26T03:37:15.223Z
23615634,18447080,betway,-39.5,-115,39.5,-110,1200.0,-10000.0,247.5,-120.0,-105.0,2025-11-26T03:35:26.688Z
23674492,18447080,bet365,39.5,140,-39.5,-170,2200.0,-25000.0,240.5,-140.0,110.0,2025-11-26T03:36:05.141Z
23868431,18447080,betparx,39.5,-112,-39.5,-118,1600.0,-10000.0,246.5,-118.0,-113.0,2025-11-26T03:37:35.196Z
25118535,18447092,fanduel,11.5,-136,-11.5,102,1700.0,-10000.0,223.5,100.0,-132.0,2025-11-29T02:59:42.709Z
25166893,18447092,caesars,11.5,-135,-11.5,105,1200.0,-4000.0,214.5,-105.0,-125.0,2025-11-29T02:56:54.886Z
25166952,18447092,draftkings,10.5,-135,-10.5,105,1800.0,-6500.0,214.5,-110.0,-120.0,2025-11-29T02:52:00.232Z
25185497,18447092,espnbet,14.5,-130,-14.5,100,2000.0,-6000.0,214.5,-105.0,-125.0,2025-11-29T02:59:36.015Z
25211000,18447092,betrivers,11,-112,-11,-134,950.0,-10000.0,214.5,-122.0,-120.0,2025-11-29T02:59:05.703Z
25211080,18447092,ballybet,9.5,-107,-9.5,-130,1150.0,-5000.0,214.5,-120.0,-117.0,2025-11-29T02:59:15.176Z
25211299,18447092,betparx,10.5,-118,-10.5,-113,1500.0,-10000.0,214.5,-117.0,-114.0,2025-11-29T02:59:35.152Z
