game_id,date,datetime,season,status,period,time,postseason,postponed,ist_stage,home_team_id,home_team_abbr,home_team_name,home_score,home_q1,home_q2,home_q3,home_q4,home_ot1,home_ot2,home_ot3,home_timeouts,home_in_bonus,visitor_team_id,visitor_team_abbr,visitor_team_name,visitor_score,visitor_q1,visitor_q2,visitor_q3,visitor_q4,visitor_ot1,visitor_ot2,visitor_ot3,visitor_timeouts,visitor_in_bonus
18446821,2025-10-22,2025-10-22T23:00:00.000Z,2025,Final,4,Final,False,False,,20,NYK,New York Knicks,119,33,32,22,32,,,,3,True,6,CLE,Cleveland Cavaliers,111,23,27,37,24,,,,1,True
18446822,2025-10-22,2025-10-23T01:30:00.000Z,2025,Final,4,Final,False,False,,7,DAL,Dallas Mavericks,92,29,22,21,20,,,,2,True,27,SAS,San Antonio Spurs,125,28,32,33,32,,,,2,False
18446823,2025-10-22,2025-10-22T23:00:00.000Z,2025,Final,4,Final,False,False,,4,CHA,Charlotte Hornets,136,38,39,34,25,,,,2,False,3,BKN,Brooklyn Nets,117,32,28,37,20,,,,2,False
18446824,2025-10-22,2025-10-22T23:00:00.000Z,2025,Final,4,Final,False,False,,22,ORL,Orlando Magic,125,38,31,21,35,,,,2,True,16,MIA,Miami Heat,121,39,26,26,30,,,,0,True
18446825,2025-10-22,2025-10-22T23:30:00.000Z,2025,Final,4,Final,False,False,,1,ATL,Atlanta Hawks,118,34,25,28,31,,,,0,True,28,TOR,Toronto Raptors,138,36,29,45,28,,,,2,False
18446826,2025-10-22,2025-10-22T23:30:00.000Z,2025,Final,4,Final,False,False,,2,BOS,Boston Celtics,116,28,23,35,30,,,,0,True,23,PHI,Philadelphia 76ers,117,26,31,18,42,,,,0,True
18446827,2025-10-22,2025-10-23T00:00:00.000Z,2025,Final,4,Final,False,False,,5,CHI,Chicago Bulls,115,35,29,30,21,,,,1,True,9,DET,Detroit Pistons,111,19,30,30,32,,,,0,True
18446828,2025-10-22,2025-10-23T00:00:00.000Z,2025,Final,4,Final,False,False,,15,MEM,Memphis Grizzlies,128,27,29,41,31,,,,0,True,19,NOP,New Orleans Pelicans,122,30,37,22,33,,,,0,True
18446829,2025-10-22,2025-10-23T00:00:00.000Z,2025,Final,4,Final,False,False,,17,MIL,Milwaukee Bucks,133,40,32,29,32,,,,2,True,30,WAS,Washington Wizards,120,23,30,37,30,,,,1,False
18446830,2025-10-22,2025-10-23T01:00:00.000Z,2025,Final,4,Final,False,False,,29,UTA,Utah Jazz,129,43,35,30,21,,,,2,True,13,LAC,LA Clippers,108,19,28,33,28,,,,2,True
18446831,2025-10-22,2025-10-23T02:00:00.000Z,2025,Final,4,Final,False,False,,24,PHX,Phoenix Suns,120,19,35,36,30,,,,2,True,26,SAC,Sacramento Kings,116,29,42,21,24,,,,0,True
18446832,2025-10-22,2025-10-23T02:00:00.000Z,2025,Final,4,Final,False,False,,25,POR,Portland Trail Blazers,114,35,26,34,19,,,,0,True,18,MIN,Minnesota Timberwolves,118,33,24,31,30,,,,2,True
18446833,2025-10-23,2025-10-23T23:30:00.000Z,2025,Final,6,Final,False,False,,12,IND,Indiana Pacers,135,25,22,31,35,11.0,11.0,,0,False,21,OKC,Oklahoma City Thunder,141,22,32,27,32,11.0,17.0,,1,True
18446834,2025-10-23,2025-10-24T02:00:00.000Z,2025,Final,5,Final,False,False,,10,GSW,Golden State Warriors,137,27,34,33,26,17.0,,,2,True,8,DEN,Denver Nuggets,131,31,39,24,26,11.0,,,0,False
18446835,2025-10-24,2025-10-24T23:30:00.000Z,2025,Final,4,Final,False,False,,20,NYK,New York Knicks,105,22,42,18,23,,,,1,True,2,BOS,Boston Celtics,95,30,14,21,30,,,,2,True
18446836,2025-10-24,2025-10-25T02:00:00.000Z,2025,Final,4,Final,False,False,,14,LAL,Los Angeles Lakers,128,36,32,40,20,,,,2,True,18,MIN,Minnesota Timberwolves,110,40,23,31,16,,,,2,False
18446837,2025-10-24,2025-10-24T23:00:00.000Z,2025,Final,4,Final,False,False,,22,ORL,Orlando Magic,107,24,37,25,21,,,,0,True,1,ATL,Atlanta Hawks,111,25,26,27,33,,,,0,True
18446838,2025-10-24,2025-10-24T23:30:00.000Z,2025,Final,4,Final,False,False,,3,BKN,Brooklyn Nets,124,23,28,35,38,,,,0,False,6,CLE,Cleveland Cavaliers,131,34,29,45,23,,,,1,True
