game_id,date,season,status,period,time,postseason,home_team_id,home_team_name,home_team_abbr,home_team_city,home_team_conference,home_team_division,home_score,visitor_team_id,visitor_team_name,visitor_team_abbr,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_score
18447285,2026-01-01,2025,Final,4,Final,False,3,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,96,11,Houston Rockets,HOU,Houston,West,Southwest,120
18447286,2026-01-01,2025,Final,4,Final,False,9,Detroit Pistons,DET,Detroit,East,Central,112,16,Miami Heat,MIA,Miami,East,Southeast,118
18447287,2026-01-01,2025,Final,4,Final,False,7,Dallas Mavericks,DAL,Dallas,West,Southwest,108,23,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,123
18447288,2026-01-01,2025,Final,4,Final,False,26,Sacramento Kings,SAC,Sacramento,West,Pacific,106,2,Boston Celtics,BOS,Boston,East,Atlantic,120
18447289,2026-01-01,2025,Final,4,Final,False,13,LA Clippers,LAC,LA,West,Pacific,118,29,Utah Jazz,UTA,Utah,West,Northwest,101
18447290,2026-01-02,2025,Final,4,Final,False,12,Indiana Pacers,IND,Indiana,East,Central,113,27,San Antonio Spurs,SAS,San Antonio,West,Southwest,123
18447291,2026-01-02,2025,Final,4,Final,False,30,Washington Wizards,WAS,Washington,East,Southeast,119,3,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,99
18447292,2026-01-02,2025,Final,4,Final,False,6,Cleveland Cavaliers,CLE,Cleveland,East,Central,113,8,Denver Nuggets,DEN,Denver,West,Northwest,108
18447293,2026-01-02,2025,Final,4,Final,False,20,New York Knicks,NYK,New York,East,Atlantic,99,1,Atlanta Hawks,ATL,Atlanta,East,Southeast,111
18447294,2026-01-02,2025,Final,4,Final,False,5,Chicago Bulls,CHI,Chicago,East,Central,121,22,Orlando Magic,ORL,Orlando,East,Southeast,114
18447295,2026-01-02,2025,Final,4,Final,False,17,Milwaukee Bucks,MIL,Milwaukee,East,Central,122,4,Charlotte Hornets,CHA,Charlotte,East,Southeast,121
18447296,2026-01-02,2025,Final,4,Final,False,19,New Orleans Pelicans,NOP,New Orleans,West,Southwest,109,25,Portland Trail Blazers,POR,Portland,West,Northwest,122
18447297,2026-01-02,2025,Final,4,Final,False,24,Phoenix Suns,PHX,Phoenix,West,Pacific,129,26,Sacramento Kings,SAC,Sacramento,West,Pacific,102
18447298,2026-01-02,2025,Final,4,Final,False,10,Golden State Warriors,GSW,Golden State,West,Pacific,94,21,Oklahoma City Thunder,OKC,Oklahoma City,West,Northwest,131
18447299,2026-01-02,2025,Final,4,Final,False,14,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,128,15,Memphis Grizzlies,MEM,Memphis,West,Southwest,121
18447300,2026-01-03,2025,Final,4,Final,False,16,Miami Heat,MIA,Miami,East,Southeast,115,18,Minnesota Timberwolves,MIN,Minnesota,West,Northwest,125
18447301,2026-01-03,2025,Final,4,Final,False,20,New York Knicks,NYK,New York,East,Atlantic,119,23,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,130
18447302,2026-01-03,2025,Final,4,Final,False,28,Toronto Raptors,TOR,Toronto,East,Atlantic,134,1,Atlanta Hawks,ATL,Atlanta,East,Southeast,117
18447303,2026-01-03,2025,Final,4,Final,False,5,Chicago Bulls,CHI,Chicago,East,Central,99,4,Charlotte Hornets,CHA,Charlotte,East,Southeast,112
18447304,2026-01-03,2025,Final,4,Final,False,27,San Antonio Spurs,SAS,San Antonio,West,Southwest,110,25,Portland Trail Blazers,POR,Portland,West,Northwest,115
18447305,2026-01-03,2025,Final,4,Final,False,7,Dallas Mavericks,DAL,Dallas,West,Southwest,110,11,Houston Rockets,HOU,Houston,West,Southwest,104
18447306,2026-01-03,2025,Final,4,Final,False,10,Golden State Warriors,GSW,Golden State,West,Pacific,123,29,Utah Jazz,UTA,Utah,West,Northwest,114
18447307,2026-01-03,2025,Final,4,Final,False,13,LA Clippers,LAC,LA,West,Pacific,115,2,Boston Celtics,BOS,Boston,East,Atlantic,146
18447308,2026-01-04,2025,Final,4,Final,False,6,Cleveland Cavaliers,CLE,Cleveland,East,Central,110,9,Detroit Pistons,DET,Detroit,East,Central,114
18447309,2026-01-04,2025,Final,4,Final,False,22,Orlando Magic,ORL,Orlando,East,Southeast,135,12,Indiana Pacers,IND,Indiana,East,Central,127
18447310,2026-01-04,2025,Final,4,Final,False,3,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,127,8,Denver Nuggets,DEN,Denver,West,Northwest,115
18447311,2026-01-04,2025,Final,4,Final,False,16,Miami Heat,MIA,Miami,East,Southeast,125,19,New Orleans Pelicans,NOP,New Orleans,West,Southwest,106
18447312,2026-01-04,2025,Final,4,Final,False,30,Washington Wizards,WAS,Washington,East,Southeast,115,18,Minnesota Timberwolves,MIN,Minnesota,West,Northwest,141
18447313,2026-01-04,2025,Final,4,Final,False,24,Phoenix Suns,PHX,Phoenix,West,Pacific,108,21,Oklahoma City Thunder,OKC,Oklahoma City,West,Northwest,105
