game_id,date,datetime,season,status,period,time,postseason,postponed,ist_stage,home_team_id,home_team_abbr,home_team_name,home_score,home_q1,home_q2,home_q3,home_q4,home_ot1,home_ot2,home_ot3,home_timeouts,home_in_bonus,visitor_team_id,visitor_team_abbr,visitor_team_name,visitor_score,visitor_q1,visitor_q2,visitor_q3,visitor_q4,visitor_ot1,visitor_ot2,visitor_ot3,visitor_timeouts,visitor_in_bonus
18446830,2025-10-22,2025-10-23T01:00:00.000Z,2025,Final,4,Final,False,False,,29,UTA,Utah Jazz,129,43,35,30,21,,,,2,True,13,LAC,LA Clippers,108,19,28,33,28,,,,2,True
18446846,2025-10-24,2025-10-25T02:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,129,34,38,34,23,,,,2,False,24,PHX,Phoenix Suns,102,33,23,21,25,,,,2,True
18446859,2025-10-26,2025-10-27T01:00:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,114,34,21,32,27,,,,0,True,25,POR,Portland Trail Blazers,107,23,37,22,25,,,,2,True
18446876,2025-10-28,2025-10-29T03:00:00.000Z,2025,Final,4,Final,False,False,,10,GSW,Golden State Warriors,98,33,13,32,20,,,,2,False,13,LAC,LA Clippers,79,25,24,14,16,,,,0,True
18446898,2025-10-31,2025-11-01T02:30:00.000Z,2025,Final,4,Final,False,False,West Group B,13,LAC,LA Clippers,126,26,41,27,32,,,,0,True,19,NOP,New Orleans Pelicans,124,28,31,25,40,,,,1,True
18446921,2025-11-03,2025-11-04T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,119,30,41,24,24,,,,1,False,16,MIA,Miami Heat,120,32,34,37,17,,,,1,True
18446927,2025-11-04,2025-11-05T04:00:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,107,33,24,29,21,,,,1,True,21,OKC,Oklahoma City Thunder,126,23,33,38,32,,,,2,True
18446939,2025-11-06,2025-11-07T02:00:00.000Z,2025,Final,4,Final,False,False,,24,PHX,Phoenix Suns,115,31,17,40,27,,,,2,False,13,LAC,LA Clippers,102,27,24,23,28,,,,2,True
18446958,2025-11-08,2025-11-09T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,103,29,17,34,23,,,,1,False,24,PHX,Phoenix Suns,114,35,25,25,29,,,,2,False
18446974,2025-11-10,2025-11-11T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,102,29,23,24,26,,,,0,True,1,ATL,Atlanta Hawks,105,19,33,27,26,,,,1,True
18446992,2025-11-12,2025-11-13T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,116,35,33,22,26,,,,1,False,8,DEN,Denver Nuggets,130,39,24,43,24,,,,2,True
18447003,2025-11-14,2025-11-15T01:30:00.000Z,2025,Final,6,Final,False,False,West Group B,7,DAL,Dallas Mavericks,127,31,24,31,28,9.0,4.0,,1,False,13,LAC,LA Clippers,133,34,28,31,21,9.0,10.0,,1,False
18447010,2025-11-16,2025-11-16T20:30:00.000Z,2025,Final,4,Final,False,False,,2,BOS,Boston Celtics,121,37,26,27,31,,,,0,True,13,LAC,LA Clippers,118,30,19,36,33,,,,0,True
18447020,2025-11-17,2025-11-18T00:00:00.000Z,2025,Final,4,Final,False,False,,23,PHI,Philadelphia 76ers,110,25,21,27,37,,,,2,True,13,LAC,LA Clippers,108,33,23,27,25,,,,1,True
18447041,2025-11-20,2025-11-21T00:00:00.000Z,2025,Final,4,Final,False,False,,22,ORL,Orlando Magic,129,30,31,32,36,,,,2,True,13,LAC,LA Clippers,101,24,25,27,25,,,,2,False
18447054,2025-11-22,2025-11-22T18:00:00.000Z,2025,Final,4,Final,False,False,,4,CHA,Charlotte Hornets,116,30,27,25,34,,,,2,True,13,LAC,LA Clippers,131,38,24,34,35,,,,2,True
18447064,2025-11-23,2025-11-23T23:00:00.000Z,2025,Final,4,Final,False,False,,6,CLE,Cleveland Cavaliers,120,27,32,33,28,,,,1,False,13,LAC,LA Clippers,105,24,28,27,26,,,,1,True
18447081,2025-11-25,2025-11-26T04:00:00.000Z,2025,Final,4,Final,False,False,West Group B,14,LAL,Los Angeles Lakers,135,37,32,29,37,,,,2,True,13,LAC,LA Clippers,118,38,28,27,25,,,,0,True
18447101,2025-11-28,2025-11-29T03:00:00.000Z,2025,Final,4,Final,False,False,West Group B,13,LAC,LA Clippers,107,35,28,18,26,,,,1,False,15,MEM,Memphis Grizzlies,112,24,26,28,34,,,,0,True
18447109,2025-11-29,2025-11-30T03:00:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,110,28,28,27,27,,,,0,True,7,DAL,Dallas Mavericks,114,25,24,34,31,,,,1,True
18447122,2025-12-01,2025-12-02T00:30:00.000Z,2025,Final,4,Final,False,False,,16,MIA,Miami Heat,140,35,41,38,26,,,,2,False,13,LAC,LA Clippers,123,24,32,26,41,,,,0,True
18447136,2025-12-03,2025-12-04T00:30:00.000Z,2025,Final,4,Final,False,False,,1,ATL,Atlanta Hawks,92,21,20,32,19,,,,2,True,13,LAC,LA Clippers,115,27,28,39,21,,,,1,False
18447156,2025-12-05,2025-12-06T01:00:00.000Z,2025,Final,4,Final,False,False,,15,MEM,Memphis Grizzlies,107,30,24,30,23,,,,2,True,13,LAC,LA Clippers,98,33,25,23,17,,,,2,False
18447164,2025-12-06,2025-12-07T01:00:00.000Z,2025,Final,4,Final,False,False,,18,MIN,Minnesota Timberwolves,109,22,20,30,37,,,,0,True,13,LAC,LA Clippers,106,34,22,22,28,,,,0,True
20054958,2025-12-11,2025-12-12T01:00:00.000Z,2025,Final,4,Final,False,False,,11,HOU,Houston Rockets,115,29,22,29,35,,,,0,True,13,LAC,LA Clippers,113,29,25,28,31,,,,0,True
20054979,2025-12-15,2025-12-16T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,103,27,21,28,27,,,,2,True,15,MEM,Memphis Grizzlies,121,25,31,34,31,,,,2,False
18447178,2025-12-18,2025-12-19T01:00:00.000Z,2025,Final,4,Final,False,False,,21,OKC,Oklahoma City Thunder,122,27,37,39,19,,,,2,False,13,LAC,LA Clippers,101,33,22,28,18,,,,1,True
18447204,2025-12-20,2025-12-21T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,103,28,26,26,23,,,,1,True,14,LAL,Los Angeles Lakers,88,15,24,22,27,,,,2,True
18447231,2025-12-23,2025-12-24T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,128,29,34,35,30,,,,2,True,11,HOU,Houston Rockets,108,35,23,24,26,,,,2,True
18447245,2025-12-26,2025-12-27T03:00:00.000Z,2025,Final,4,Final,False,False,,25,POR,Portland Trail Blazers,103,35,27,16,25,,,,1,True,13,LAC,LA Clippers,119,25,31,29,34,,,,2,True
18447259,2025-12-28,2025-12-29T02:00:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,112,33,27,32,20,,,,2,True,9,DET,Detroit Pistons,99,20,22,27,30,,,,1,True
18447275,2025-12-30,2025-12-31T04:00:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,131,34,39,27,31,,,,1,False,26,SAC,Sacramento Kings,90,20,20,31,19,,,,1,False
18447289,2026-01-01,2026-01-02T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,118,31,22,29,36,,,,1,False,29,UTA,Utah Jazz,101,17,33,31,20,,,,1,False
18447307,2026-01-03,2026-01-04T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,115,28,35,36,16,,,,0,True,2,BOS,Boston Celtics,146,42,29,42,33,,,,2,False
18447322,2026-01-05,2026-01-06T03:00:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,103,31,24,21,27,,,,0,True,10,GSW,Golden State Warriors,102,19,32,13,38,,,,0,True
18447336,2026-01-07,2026-01-08T00:30:00.000Z,2025,Final,4,Final,False,False,,20,NYK,New York Knicks,123,27,24,39,33,,,,3,False,13,LAC,LA Clippers,111,31,25,31,24,,,,2,True
18447349,2026-01-09,2026-01-10T00:30:00.000Z,2025,Final,4,Final,False,False,,3,BKN,Brooklyn Nets,105,25,22,29,29,,,,1,False,13,LAC,LA Clippers,121,35,28,28,30,,,,1,True
18447358,2026-01-10,2026-01-11T00:30:00.000Z,2025,Final,4,Final,False,False,,9,DET,Detroit Pistons,92,28,27,21,16,,,,1,True,13,LAC,LA Clippers,98,14,27,27,30,,,,0,True
18447377,2026-01-12,2026-01-13T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,117,24,21,41,31,,,,1,True,4,CHA,Charlotte Hornets,109,26,17,41,25,,,,1,False
18447391,2026-01-14,2026-01-15T03:30:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,119,37,33,26,23,,,,0,False,30,WAS,Washington Wizards,105,22,29,38,16,,,,2,False
18447404,2026-01-16,2026-01-17T00:30:00.000Z,2025,Final,5,Final,False,False,,28,TOR,Toronto Raptors,117,32,29,28,20,8.0,,,1,False,13,LAC,LA Clippers,121,24,28,26,31,12.0,,,1,True
18447426,2026-01-19,2026-01-19T20:00:00.000Z,2025,Final,4,Final,False,False,,30,WAS,Washington Wizards,106,26,27,28,25,,,,0,True,13,LAC,LA Clippers,110,26,28,25,31,,,,0,True
18447432,2026-01-20,2026-01-21T01:00:00.000Z,2025,Final,4,Final,False,False,,5,CHI,Chicago Bulls,138,25,45,32,36,,,,2,False,13,LAC,LA Clippers,110,30,19,34,27,,,,2,True
18447451,2026-01-22,2026-01-23T03:00:00.000Z,2025,Final,4,Final,False,False,,13,LAC,LA Clippers,112,36,28,22,26,,,,0,True,14,LAL,Los Angeles Lakers,104,29,18,25,32,,,,1,False
