game_id,date,datetime,season,status,period,time,postseason,postponed,ist_stage,home_team_id,home_team_abbr,home_team_name,home_score,home_q1,home_q2,home_q3,home_q4,home_ot1,home_ot2,home_ot3,home_timeouts,home_in_bonus,visitor_team_id,visitor_team_abbr,visitor_team_name,visitor_score,visitor_q1,visitor_q2,visitor_q3,visitor_q4,visitor_ot1,visitor_ot2,visitor_ot3,visitor_timeouts,visitor_in_bonus
18446826,2025-10-22,2025-10-22T23:30:00.000Z,2025,Final,4,Final,False,False,,2,BOS,Boston Celtics,116,28,23,35,30,,,,0,True,23,PHI,Philadelphia 76ers,117,26,31,18,42,,,,0,True
18446849,2025-10-25,2025-10-25T23:30:00.000Z,2025,Final,4,Final,False,False,,23,PHI,Philadelphia 76ers,125,36,25,25,39,,,,1,True,4,CHA,Charlotte Hornets,121,29,29,38,25,,,,0,True
18446863,2025-10-27,2025-10-27T23:00:00.000Z,2025,Final,4,Final,False,False,,23,PHI,Philadelphia 76ers,136,33,39,29,35,,,,1,True,22,ORL,Orlando Magic,124,28,32,34,30,,,,1,True
18446872,2025-10-28,2025-10-28T23:00:00.000Z,2025,Final,5,Final,False,False,,30,WAS,Washington Wizards,134,40,32,38,16,8.0,,,0,False,23,PHI,Philadelphia 76ers,139,32,36,26,32,13.0,,,1,True
18446892,2025-10-31,2025-10-31T23:00:00.000Z,2025,Final,4,Final,False,False,East Group B,23,PHI,Philadelphia 76ers,108,25,32,25,26,,,,0,False,2,BOS,Boston Celtics,109,38,30,21,20,,,,0,True
18446906,2025-11-02,2025-11-02T23:00:00.000Z,2025,Final,4,Final,False,False,,3,BKN,Brooklyn Nets,105,37,18,23,27,,,,2,True,23,PHI,Philadelphia 76ers,129,40,33,17,39,,,,2,False
18446924,2025-11-04,2025-11-05T01:00:00.000Z,2025,Final,4,Final,False,False,,5,CHI,Chicago Bulls,113,27,29,28,29,,,,1,True,23,PHI,Philadelphia 76ers,111,45,30,20,16,,,,0,True
18446928,2025-11-05,2025-11-06T00:00:00.000Z,2025,Final,4,Final,False,False,,6,CLE,Cleveland Cavaliers,132,41,29,37,25,,,,2,True,23,PHI,Philadelphia 76ers,121,27,40,20,34,,,,1,True
18446952,2025-11-08,2025-11-09T00:30:00.000Z,2025,Final,4,Final,False,False,,23,PHI,Philadelphia 76ers,130,33,35,33,29,,,,2,True,28,TOR,Toronto Raptors,120,43,20,34,23,,,,1,False
18446963,2025-11-09,2025-11-10T00:30:00.000Z,2025,Final,4,Final,False,False,,23,PHI,Philadelphia 76ers,108,32,32,21,23,,,,1,True,9,DET,Detroit Pistons,111,37,17,34,23,,,,2,True
