lineup_id,game_id,starter,position,player_id,player_name,player_position,jersey_number,team_id,team_abbr
1823,18446823,True,F,375,Michael Porter Jr.,F,17,3,BKN
1824,18446823,True,C,666508,Nicolas Claxton,F-C,33,3,BKN
1825,18446823,True,G,666743,Terance Mann,G,14,3,BKN
1826,18446823,True,G,17896048,Cam Thomas,G,24,3,BKN
1827,18446823,True,G,1057279760,Ben Saraf,G,77,3,BKN
1828,18446823,False,F,56677722,Jalen Wilson,F,22,3,BKN
1829,18446823,False,F,17896027,Ziaire Williams,G-F,1,3,BKN
1830,18446823,False,F,56677843,Noah Clowney,F,21,3,BKN
1831,18446823,False,C,17896038,Day'Ron Sharpe,C,20,3,BKN
1832,18446823,False,G,38017722,Tyrese Martin,G,13,3,BKN
1833,18446823,False,G,1057279425,Drake Powell,F,4,3,BKN
1834,18446823,False,G,1057266813,Egor Demin,G,8,3,BKN
1835,18446823,False,G,1057275262,Nolan Traoré,G,88,3,BKN
1836,18446823,True,F,62,Miles Bridges,F,0,4,CHA
1837,18446823,True,F,56677823,Brandon Miller,F,24,4,CHA
1838,18446823,True,C,1057384362,Ryan Kalkbrenner,C,11,4,CHA
1839,18446823,True,G,3547239,LaMelo Ball,G,1,4,CHA
1840,18446823,True,G,1057263194,Kon Knueppel,G-F,7,4,CHA
1841,18446823,False,F,38017725,Moussa Diabate,F,14,4,CHA
1842,18446823,False,F,1028028379,Tidjane Salaun,F,31,4,CHA
1843,18446823,False,G,413,Collin Sexton,G,8,4,CHA
1844,18446823,False,G,17896036,Tre Mann,G,23,4,CHA
1845,18446823,False,G,1057384156,Sion James,G,4,4,CHA
1846,18446821,True,C,9,Jarrett Allen,C,31,6,CLE
1847,18446821,True,C,17896076,Evan Mobley,F-C,4,6,CLE
1848,18446821,True,G,322,Donovan Mitchell,G,45,6,CLE
1849,18446821,True,G,3547299,Sam Merrill,G,5,6,CLE
1850,18446821,True,G,1028028993,Jaylon Tyson,G-F,20,6,CLE
1851,18446821,False,F,340,Larry Nance Jr.,F,22,6,CLE
1852,18446821,False,F,666940,Dean Wade,F,32,6,CLE
1853,18446821,False,G,27,Lonzo Ball,G,2,6,CLE
1854,18446821,False,G,56677872,Craig Porter,G,9,6,CLE
1855,18446821,False,G,1057395754,Tyrese Proctor,G,24,6,CLE
1856,18446821,True,F,18,OG Anunoby,F,8,20,NYK
1857,18446821,True,C,447,Karl-Anthony Towns,C,32,20,NYK
1858,18446821,True,C,1028046422,Ariel Hukporti,C,55,20,NYK
1859,18446821,True,G,61,Mikal Bridges,F,25,20,NYK
1860,18446821,True,G,73,Jalen Brunson,G,11,20,NYK
1861,18446821,False,F,488,Guerschon Yabusele,F,28,20,NYK
1862,18446821,False,F,64269023,Trey Jemison,C,50,20,NYK
1863,18446821,False,G,100,Jordan Clarkson,G,00,20,NYK
1864,18446821,False,G,414,Landry Shamet,G,44,20,NYK
1865,18446821,False,G,17896033,Miles McBride,G,2,20,NYK
1866,18446821,False,G,1028036898,Tyler Kolek,G,13,20,NYK
1867,18446827,True,F,200,Tobias Harris,F,12,9,DET
1868,18446827,True,F,397,Duncan Robinson,F,55,9,DET
1869,18446827,True,C,38017694,Jalen Duren,C,0,9,DET
1870,18446827,True,G,17896075,Cade Cunningham,G-F,2,9,DET
1871,18446827,True,G,56677826,Ausar Thompson,G-F,9,9,DET
1872,18446827,False,F,3547270,Paul Reed,F,7,9,DET
1873,18446827,False,F,3547267,Isaiah Stewart,F-C,28,9,DET
1874,18446827,False,F,1028026508,Ronald Holland II,F,5,9,DET
1875,18446827,False,G,666604,Javonte Green,G-F,31,9,DET
1876,18446827,False,G,277,Caris LeVert,G,8,9,DET
1877,18446827,True,F,3547247,Isaac Okoro,F-G,35,5,CHI
1878,18446827,True,F,1028025177,Matas Buzelis,F,14,5,CHI
1879,18446827,True,C,460,Nikola Vucevic,C,9,5,CHI
1880,18446827,True,G,3547274,Tre Jones,G,30,5,CHI
1881,18446827,True,G,17896065,Josh Giddey,G,3,5,CHI
1882,18446827,False,F,3547264,Jalen Smith,F-C,25,5,CHI
1883,18446827,False,F,3547248,Patrick Williams,F,44,5,CHI
1884,18446827,False,F,38017719,Dalen Terry,F,7,5,CHI
1885,18446827,False,G,221,Kevin Huerter,G,13,5,CHI
1886,18446827,False,G,17895983,Ayo Dosunmu,G,11,5,CHI
1887,18446825,True,F,227,Brandon Ingram,F,3,28,TOR
1888,18446825,True,F,666423,RJ Barrett,F-G,9,28,TOR
1889,18446825,True,F,17896055,Scottie Barnes,G-F,4,28,TOR
1890,18446825,True,C,373,Jakob Poeltl,C,19,28,TOR
1891,18446825,True,G,3547269,Immanuel Quickley,G,5,28,TOR
1892,18446825,False,F,17896059,Sandro Mamukelashvili,F,54,28,TOR
1893,18446825,False,F,1028243201,Jamison Battle,F,77,28,TOR
1894,18446825,False,F,1028037494,Jonathan Mogbo,F,2,28,TOR
1895,18446825,False,G,38017620,Ochai Agbaji,G,30,28,TOR
1896,18446825,False,G,1028038426,Jamal Shead,G,23,28,TOR
1897,18446825,False,G,56677828,Gradey Dick,G,1,28,TOR
1898,18446825,True,F,17896040,Jalen Johnson,F,1,1,ATL
1899,18446825,True,F,1028028244,Zaccharie Risacher,F,10,1,ATL
1900,18446825,True,C,378,Kristaps Porzingis,F-C,8,1,ATL
1901,18446825,True,G,490,Trae Young,G,3,1,ATL
1902,18446825,True,G,38017677,Dyson Daniels,G,5,1,ATL
1903,18446825,False,F,3547244,Onyeka Okongwu,F-C,17,1,ATL
1904,18446825,False,F,56677806,Mouhamed Gueye,F,18,1,ATL
1905,18446825,False,G,254,Luke Kennard,G,3,1,ATL
1906,18446825,False,G,666400,Nickeil Alexander-Walker,G,7,1,ATL
1907,18446825,False,G,45088184,Keaton Wallace,G,2,1,ATL
1908,18446822,True,F,30,Harrison Barnes,F,40,27,SAS
1909,18446822,True,F,38017649,Julian Champagnie,F,30,27,SAS
1910,18446822,True,F,56677822,Victor Wembanyama,F-C,1,27,SAS
1911,18446822,True,G,3547246,Devin Vassell,G-F,24,27,SAS
1912,18446822,True,G,1028025261,Stephon Castle,G,5,27,SAS
1913,18446822,False,F,666682,Keldon Johnson,F,3,27,SAS
1914,18446822,False,F,1028046464,Harrison Ingram,F,55,27,SAS
1915,18446822,False,F,1028245237,David Jones,F,25,27,SAS
1916,18446822,False,F,1057271360,Carter Bryant,F,11,27,SAS
1917,18446822,False,F,1028245994,Riley Minix,F,27,27,SAS
1918,18446822,False,C,48,Bismack Biyombo,C,18,27,SAS
1919,18446822,False,C,261,Luke Kornet,F-C,7,27,SAS
1920,18446822,False,G,666767,Jordan McLaughlin,G,0,27,SAS
1921,18446822,False,G,1057262518,Dylan Harper,G,2,27,SAS
1922,18446822,True,F,117,Anthony Davis,F-C,3,7,DAL
1923,18446822,True,F,666950,P.J. Washington,F,25,7,DAL
1924,18446822,True,F,1057262088,Cooper Flagg,F,32,7,DAL
1925,18446822,True,C,56677840,Dereck Lively II,C,2,7,DAL
1926,18446822,True,G,443,Klay Thompson,G,31,7,DAL
1927,18446822,False,F,379,Dwight Powell,F-C,7,7,DAL
1928,18446822,False,F,666747,Caleb Martin,F,16,7,DAL
1929,18446822,False,F,3547293,Naji Marshall,F,13,7,DAL
1930,18446822,False,C,1057845382,Moussa Cisse,C,30,7,DAL
1931,18446822,False,G,405,D'Angelo Russell,G,5,7,DAL
1932,18446822,False,G,24489167,Brandon Williams,G,10,7,DAL
1933,18446822,False,G,38017697,Max Christie,G,00,7,DAL
1934,18446822,False,G,1057847894,Ryan Nembhard,G,9,7,DAL
1935,18446822,False,G,38017679,Jaden Hardy,G,1,7,DAL
1936,18446829,True,F,315,Khris Middleton,F,22,30,WAS
1937,18446829,True,F,1028026060,KyShawn George,F,18,30,WAS
1938,18446829,True,C,1028028405,Alexandre Sarr,C,20,30,WAS
1939,18446829,True,G,303,CJ McCollum,G,3,30,WAS
1940,18446829,True,G,1028025235,Carlton Carrington,G,7,30,WAS
1941,18446829,False,F,3547302,Anthony Gill,F,16,30,WAS
1942,18446829,False,F,24,Marvin Bagley III,F,35,30,WAS
1943,18446829,False,F,17896045,Corey Kispert,F,24,30,WAS
1944,18446829,False,F,17896039,Justin Champagnie,F,9,30,WAS
1945,18446829,False,F,1016384149,Tristan Vukcevic,F,00,30,WAS
1946,18446829,False,F,56677831,Cam Whitmore,F,1,30,WAS
1947,18446829,False,G,17896029,Sharife Cooper,G,13,30,WAS
1948,18446829,False,G,1057279594,Will Riley,F,27,30,WAS
1949,18446829,False,G,1028026717,AJ Johnson,G,4,30,WAS
1950,18446829,False,G,1057262985,Tre Johnson,G,12,30,WAS
1951,18446829,True,F,15,Giannis Antetokounmpo,F,34,17,MIL
1952,18446829,True,C,452,Myles Turner,C-F,3,17,MIL
1953,18446829,True,G,3089,Gary Trent Jr.,,5,17,MIL
1954,18446829,True,G,666849,Kevin Porter Jr.,G,7,17,MIL
1955,18446829,True,G,38017733,A.J. Green,G,20,17,MIL
1956,18446829,False,F,383,Taurean Prince,F,12,17,MIL
1957,18446829,False,F,377,Bobby Portis,F,9,17,MIL
1958,18446829,False,F,2148,Thanasis Antetokounmpo,,43,17,MIL
1959,18446829,False,F,265,Kyle Kuzma,F,18,17,MIL
1960,18446829,False,C,17896063,Jericho Sims,F,00,17,MIL
1961,18446829,False,G,196,Gary Harris,G,11,17,MIL
1962,18446829,False,G,666511,Amir Coffey,G,17,17,MIL
1963,18446829,False,G,56677852,Andre Jackson Jr.,G,44,17,MIL
1964,18446829,False,G,3547251,Cole Anthony,G,50,17,MIL
1965,18446829,False,G,38017712,Ryan Rollins,G,13,17,MIL
1966,18446830,True,F,274,Kawhi Leonard,F,2,13,LAC
1967,18446830,True,F,247,Derrick Jones Jr.,F-G,5,13,LAC
1968,18446830,True,C,493,Ivica Zubac,C,40,13,LAC
1969,18446830,True,G,192,James Harden,G,1,13,LAC
1970,18446830,True,G,37,Bradley Beal,G,0,13,LAC
1971,18446830,False,F,33,Nicolas Batum,F-G,33,13,LAC
1972,18446830,False,F,101,John Collins,F-C,20,13,LAC
1973,18446830,False,C,283,Brook Lopez,C,11,13,LAC
1974,18446830,False,C,1057279105,Yanic Konan Niederhauser,C,14,13,LAC
1975,18446830,False,G,367,Chris Paul,G,3,13,LAC
1976,18446830,False,G,139,Kris Dunn,G,8,13,LAC
1977,18446830,False,G,56677849,Kobe Brown,F,24,13,LAC
1978,18446830,False,G,1057396055,Kobe Sanders,G,4,13,LAC
1979,18446830,False,G,1028035215,Cam Christie,G,12,13,LAC
1980,18446830,True,F,297,Lauri Markkanen,F,23,29,UTA
1981,18446830,True,F,1028035794,Kyle Filipowski,C,22,29,UTA
1982,18446830,True,C,38017705,Walker Kessler,C,24,29,UTA
1983,18446830,True,G,338,Svi Mykhailiuk,G,10,29,UTA
1984,18446830,True,G,56677834,Keyonte George,G,3,29,UTA
1985,18446830,False,F,56677824,Taylor Hendricks,F,0,29,UTA
1986,18446830,False,F,1028029291,Cody Williams,F,5,29,UTA
1987,18446830,False,F,56677842,Brice Sensabaugh,F,28,29,UTA
1988,18446830,False,C,349,Jusuf Nurkic,C,30,29,UTA
1989,18446830,False,G,1057260888,Airious Bailey,F,19,29,UTA
1990,18446830,False,G,1057271583,Walter Clayton Jr.,G,13,29,UTA
2032,18446824,True,F,475,Andrew Wiggins,F-G,22,16,MIA
2033,18446824,True,F,38017696,Nikola Jovic,F,5,16,MIA
2034,18446824,True,C,4,Bam Adebayo,C-F,13,16,MIA
2035,18446824,True,G,380,Norman Powell,F-G,24,16,MIA
2036,18446824,True,G,17553994,Davion Mitchell,G,45,16,MIA
2037,18446824,False,F,38017739,Simone Fontecchio,F,0,16,MIA
2038,18446824,False,F,56677785,Jaime Jaquez Jr.,G,11,16,MIA
2039,18446824,False,C,1028029127,Kel'el Ware,C,7,16,MIA
2040,18446824,False,G,19465585,Dru Smith,G,12,16,MIA
2041,18446824,False,G,1028036986,Pelle Larsson,G,9,16,MIA
2042,18446824,True,F,38017683,Paolo Banchero,F,5,22,ORL
2043,18446824,True,F,17896026,Franz Wagner,F,22,22,ORL
2044,18446824,True,C,85,Wendell Carter Jr.,F,34,22,ORL
2045,18446824,True,G,3547287,Desmond Bane,G,3,22,ORL
2046,18446824,True,G,17896073,Jalen Suggs,G,4,22,ORL
2047,18446824,False,F,229,Jonathan Isaac,F,1,22,ORL
2048,18446824,False,F,1028025497,Tristan Da Silva,F,23,22,ORL
2049,18446824,False,C,666442,Goga Bitadze,C,35,22,ORL
2050,18446824,False,G,249,Tyus Jones,G,2,22,ORL
2051,18446824,False,G,56677827,Anthony Black,G,0,22,ORL
2052,18446828,True,F,17896024,Herbert Jones,F,2,19,NOP
2053,18446828,True,F,666969,Zion Williamson,F,1,19,NOP
2054,18446828,True,F,18677986,Trey Murphy III,F,25,19,NOP
2055,18446828,True,C,1028027567,Yves Missi,C,21,19,NOP
2056,18446828,True,G,666848,Jordan Poole,G,3,19,NOP
2057,18446828,False,C,1057845705,Hunter Dickinson,C,4,19,NOP
2058,18446828,False,C,1057274415,Derik Queen,C,22,19,NOP
2059,18446828,False,G,3547256,Saddiq Bey,F,41,19,NOP
2060,18446828,False,G,56677837,Jordan Hawkins,G,24,19,NOP
2061,18446828,False,G,1057267077,Jeremiah Fears,G,0,19,NOP
2062,18446828,True,F,231,Jaren Jackson Jr.,F-C,8,15,MEM
2063,18446828,True,F,1028039105,Jaylen Wells,F,0,15,MEM
2064,18446828,True,C,19465326,Jock Landale,C,31,15,MEM
2065,18446828,True,G,81,Kentavious Caldwell-Pope,G,3,15,MEM
2066,18446828,True,G,666786,Ja Morant,G,12,15,MEM
2067,18446828,False,F,17896067,Santi Aldama,F,7,15,MEM
2068,18446828,False,F,56677859,Olivier-Maxence Prosper,F,18,15,MEM
2069,18446828,False,F,1057266649,Cedric Coward,G,23,15,MEM
2070,18446828,False,G,666703,John Konchar,G-F,46,15,MEM
2071,18446828,False,G,1028048549,Cam Spencer,G,24,15,MEM
