lineup_id,game_id,starter,position,player_id,player_name,player_position,jersey_number,team_id,team_abbr
2073,18446826,True,F,38017730,Dominick Barlow,F,25,23,PHI
2074,18446826,True,C,145,Joel Embiid,F-C,21,23,PHI
2075,18446826,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
2076,18446826,True,G,3547254,Tyrese Maxey,G,0,23,PHI
2077,18446826,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
2078,18446826,False,F,38017711,Jabari Walker,F,33,23,PHI
2079,18446826,False,F,1028214238,Justin Edwards,F,11,23,PHI
2080,18446826,False,C,137,Andre Drummond,C,1,23,PHI
2081,18446826,False,C,1028034846,Adem Bona,F,30,23,PHI
2082,18446826,False,G,17895858,Quentin Grimes,G,5,23,PHI
2418,18446849,True,F,38017730,Dominick Barlow,F,25,23,PHI
2419,18446849,True,C,145,Joel Embiid,F-C,21,23,PHI
2420,18446849,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
2421,18446849,True,G,3547254,Tyrese Maxey,G,0,23,PHI
2422,18446849,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
2423,18446849,False,F,38017711,Jabari Walker,F,33,23,PHI
2424,18446849,False,F,1028214238,Justin Edwards,F,11,23,PHI
2425,18446849,False,C,137,Andre Drummond,C,1,23,PHI
2426,18446849,False,C,1028034846,Adem Bona,F,30,23,PHI
2427,18446849,False,G,17895858,Quentin Grimes,G,5,23,PHI
2831,18446863,True,F,38017711,Jabari Walker,F,33,23,PHI
2832,18446863,True,C,1028034846,Adem Bona,F,30,23,PHI
2833,18446863,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
2834,18446863,True,G,3547254,Tyrese Maxey,G,0,23,PHI
2835,18446863,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
2836,18446863,False,F,1028214238,Justin Edwards,F,11,23,PHI
2837,18446863,False,C,137,Andre Drummond,C,1,23,PHI
2838,18446863,False,G,178,Eric Gordon,G,23,23,PHI
2839,18446863,False,G,17895858,Quentin Grimes,G,5,23,PHI
2840,18446863,False,G,1057848561,Hunter Sallis,G,45,23,PHI
3048,18446872,True,F,1028214238,Justin Edwards,F,11,23,PHI
3049,18446872,True,C,145,Joel Embiid,F-C,21,23,PHI
3050,18446872,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
3051,18446872,True,G,3547254,Tyrese Maxey,G,0,23,PHI
3052,18446872,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
3053,18446872,False,F,17896058,Trendon Watford,F,12,23,PHI
3054,18446872,False,F,38017711,Jabari Walker,F,33,23,PHI
3055,18446872,False,C,137,Andre Drummond,C,1,23,PHI
3056,18446872,False,C,1028034846,Adem Bona,F,30,23,PHI
3057,18446872,False,G,178,Eric Gordon,G,23,23,PHI
3058,18446872,False,G,17895858,Quentin Grimes,G,5,23,PHI
3564,18446892,True,F,38017711,Jabari Walker,F,33,23,PHI
3565,18446892,True,C,145,Joel Embiid,F-C,21,23,PHI
3566,18446892,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
3567,18446892,True,G,3547254,Tyrese Maxey,G,0,23,PHI
3568,18446892,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
3569,18446892,False,F,17896058,Trendon Watford,F,12,23,PHI
3570,18446892,False,F,1028214238,Justin Edwards,F,11,23,PHI
3571,18446892,False,C,137,Andre Drummond,C,1,23,PHI
3572,18446892,False,C,1028034846,Adem Bona,F,30,23,PHI
3573,18446892,False,G,17895858,Quentin Grimes,G,5,23,PHI
3761,18446906,True,F,38017711,Jabari Walker,F,33,23,PHI
3762,18446906,True,C,1028034846,Adem Bona,F,30,23,PHI
3763,18446906,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
3764,18446906,True,G,3547254,Tyrese Maxey,G,0,23,PHI
3765,18446906,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
3766,18446906,False,F,17896058,Trendon Watford,F,12,23,PHI
3767,18446906,False,F,1057382509,Johni Broome,F,22,23,PHI
3768,18446906,False,F,1028214238,Justin Edwards,F,11,23,PHI
3769,18446906,False,C,137,Andre Drummond,C,1,23,PHI
3770,18446906,False,G,286,Kyle Lowry,G,7,23,PHI
3771,18446906,False,G,17895858,Quentin Grimes,G,5,23,PHI
3772,18446906,False,G,1057848561,Hunter Sallis,G,45,23,PHI
4115,18446924,True,F,38017711,Jabari Walker,F,33,23,PHI
4116,18446924,True,C,145,Joel Embiid,F-C,21,23,PHI
4117,18446924,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
4118,18446924,True,G,3547254,Tyrese Maxey,G,0,23,PHI
4119,18446924,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
4120,18446924,False,F,17896058,Trendon Watford,F,12,23,PHI
