stat_id,game_id,game_date,player_id,player_name,player_position,team_id,team_abbr,min,pts,reb,ast,stl,blk,turnover,pf,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,plus_minus
20763374,18446830,2025-10-22,1057260888,Airious Bailey,F,29,UTA,20,2,4,2,0,0,1,1,1,5,0.2,0,2,0.0,0,0,,1,3,5.0
20763375,18446830,2025-10-22,1057271583,Walter Clayton Jr.,G,29,UTA,18,10,6,5,2,0,2,2,4,8,0.5,1,3,0.333,1,1,1.0,3,3,3.0
20763376,18446830,2025-10-22,1028264794,Elijah Harkless,G,29,UTA,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20763410,18446830,2025-10-22,297,Lauri Markkanen,F,29,UTA,33,20,6,5,0,0,1,0,8,13,0.615,4,7,0.571,0,0,,2,4,19.0
20763411,18446830,2025-10-22,1028035794,Kyle Filipowski,C,29,UTA,25,9,4,5,0,1,0,5,4,10,0.4,1,6,0.167,0,0,,2,2,7.0
20763412,18446830,2025-10-22,38017705,Walker Kessler,C,29,UTA,29,22,9,4,2,4,1,5,7,7,1.0,2,2,1.0,6,8,0.75,2,7,13.0
20763413,18446830,2025-10-22,338,Svi Mykhailiuk,G,29,UTA,24,9,1,3,1,0,0,0,3,4,0.75,3,4,0.75,0,0,,0,1,20.0
20763414,18446830,2025-10-22,56677834,Keyonte George,G,29,UTA,30,16,2,9,2,0,3,1,6,12,0.5,1,7,0.143,3,4,0.75,0,2,18.0
20763415,18446830,2025-10-22,12,Kyle Anderson,F,29,UTA,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20763420,18446830,2025-10-22,56677824,Taylor Hendricks,F,29,UTA,19,13,6,0,1,1,2,1,4,6,0.667,2,3,0.667,3,4,0.75,2,4,4.0
20763421,18446830,2025-10-22,285,Kevin Love,F-C,29,UTA,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20763436,18446830,2025-10-22,349,Jusuf Nurkic,C,29,UTA,17,8,4,3,2,0,1,1,4,9,0.444,0,3,0.0,0,0,,1,3,9.0
20763437,18446830,2025-10-22,56677842,Brice Sensabaugh,F,29,UTA,23,20,4,2,1,0,1,5,7,13,0.538,3,7,0.429,3,3,1.0,0,4,8.0
