stat_id,game_id,game_date,player_id,player_name,player_position,team_id,team_abbr,min,pts,reb,ast,stl,blk,turnover,pf,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,plus_minus
20758858,18446826,2025-10-22,70,Jaylen Brown,G,2,BOS,36,25,6,4,0,0,2,4,9,18,0.5,2,4,0.5,5,6,0.833,0,6,0.0
20758859,18446826,2025-10-22,17896060,Sam Hauser,F,2,BOS,22,8,2,1,0,0,3,3,2,6,0.333,2,6,0.333,2,2,1.0,0,2,8.0
20758860,18446826,2025-10-22,17553967,Neemias Queta,C,2,BOS,25,17,8,0,0,0,2,6,7,8,0.875,0,0,,3,4,0.75,2,6,2.0
20758861,18446826,2025-10-22,3547276,Payton Pritchard,G,2,BOS,37,16,5,2,2,0,2,3,6,14,0.429,1,7,0.143,3,4,0.75,2,3,6.0
20758907,18446826,2025-10-22,473,Derrick White,G,2,BOS,35,25,3,4,1,1,0,1,7,20,0.35,4,13,0.308,7,7,1.0,0,3,-3.0
20758908,18446826,2025-10-22,58,Chris Boucher,F,2,BOS,16,6,4,1,1,0,0,0,2,4,0.5,0,2,0.0,2,2,1.0,0,4,-4.0
20758909,18446826,2025-10-22,17896056,Luka Garza,C,2,BOS,6,0,1,0,0,1,2,1,0,2,0.0,0,2,0.0,0,0,,0,1,-3.0
20758910,18446826,2025-10-22,1057277425,Hugo González,G,2,BOS,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20758911,18446826,2025-10-22,38017715,Josh Minott,F,2,BOS,14,2,2,2,0,0,0,4,1,1,1.0,0,0,,0,0,,2,0,-6.0
20758912,18446826,2025-10-22,1028028434,Baylor Scheierman,G,2,BOS,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20758913,18446826,2025-10-22,1057396191,Max Shulga,G,2,BOS,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20758914,18446826,2025-10-22,419,Anfernee Simons,G,2,BOS,32,13,4,1,1,1,0,2,5,10,0.5,2,6,0.333,1,1,1.0,1,3,-5.0
20758915,18446826,2025-10-22,3547285,Xavier Tillman,F,2,BOS,16,4,7,1,2,1,0,4,2,8,0.25,0,3,0.0,0,0,,3,4,0.0
20758916,18446826,2025-10-22,56677864,Jordan Walsh,G,2,BOS,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20758917,18446826,2025-10-22,38017717,Ron Harper Jr.,F,2,BOS,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20758918,18446826,2025-10-22,434,Jayson Tatum,F,2,BOS,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20758919,18446826,2025-10-22,1057396966,Amari Williams,F-C,2,BOS,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
