prop_id,game_id,player_id,vendor,prop_type,line_value,market_type,over_odds,under_odds,milestone_odds,updated_at
128983818,18447109,1057262088,rebet,points,31.5,over_under,-111.0,-125.0,,2025-11-30T04:56:45.675Z
129722584,18447109,1057262088,draftkings,rebounds,8.5,over_under,850.0,-1750.0,,2025-11-30T05:37:09.118Z
175262596,18447122,4,rebet,points,23.5,over_under,-133.0,-105.0,,2025-12-02T02:00:46.126Z
175262597,18447122,101,rebet,points,9.5,over_under,-143.0,-105.0,,2025-12-02T02:00:46.126Z
175262598,18447122,17553994,rebet,points,12.5,over_under,-125.0,-111.0,,2025-12-02T02:00:46.126Z
175262599,18447122,666633,rebet,points,17.5,over_under,-118.0,-125.0,,2025-12-02T02:00:46.126Z
175262600,18447122,56677785,rebet,points,8.5,over_under,-125.0,-118.0,,2025-12-02T02:00:46.126Z
175262601,18447122,1028029127,rebet,points,4.5,over_under,-125.0,-111.0,,2025-12-02T02:00:46.126Z
175262602,18447122,475,rebet,points,19.5,over_under,-118.0,-125.0,,2025-12-02T02:00:46.126Z
175262603,18447122,192,rebet,points,21.5,over_under,-111.0,-125.0,,2025-12-02T02:00:46.126Z
175262604,18447122,274,rebet,points,20.5,over_under,-111.0,-133.0,,2025-12-02T02:00:46.126Z
175262605,18447122,380,rebet,points,20.5,over_under,-133.0,-111.0,,2025-12-02T02:00:46.126Z
175262606,18447122,493,rebet,points,17.5,over_under,-154.0,105.0,,2025-12-02T02:00:46.126Z
175262607,18447122,139,rebet,points,13.5,over_under,-133.0,-105.0,,2025-12-02T02:00:46.126Z
175262608,18447122,4,rebet,assists,3.5,over_under,140.0,-213.0,,2025-12-02T02:00:46.126Z
175262609,18447122,19465585,rebet,assists,2.5,over_under,170.0,-250.0,,2025-12-02T02:00:46.126Z
175262610,18447122,17553994,rebet,assists,8.5,over_under,-192.0,130.0,,2025-12-02T02:00:46.126Z
175262611,18447122,666633,rebet,assists,1.5,over_under,-167.0,115.0,,2025-12-02T02:00:46.126Z
175262612,18447122,56677785,rebet,assists,3.5,over_under,-133.0,-111.0,,2025-12-02T02:00:46.126Z
175262613,18447122,475,rebet,assists,3.5,over_under,165.0,-250.0,,2025-12-02T02:00:46.126Z
175262614,18447122,192,rebet,assists,6.5,over_under,-105.0,-133.0,,2025-12-02T02:00:46.126Z
175262615,18447122,274,rebet,assists,2.5,over_under,170.0,-250.0,,2025-12-02T02:00:46.126Z
175262616,18447122,493,rebet,assists,2.5,over_under,150.0,-222.0,,2025-12-02T02:00:46.126Z
175262617,18447122,139,rebet,assists,1.5,over_under,145.0,-213.0,,2025-12-02T02:00:46.126Z
175262618,18447122,4,rebet,rebounds,12.5,over_under,-111.0,-125.0,,2025-12-02T02:00:46.126Z
175262619,18447122,101,rebet,rebounds,6.5,over_under,-175.0,120.0,,2025-12-02T02:00:46.126Z
175262620,18447122,17553994,rebet,rebounds,3.5,over_under,175.0,-270.0,,2025-12-02T02:00:46.126Z
175262621,18447122,666633,rebet,rebounds,3.5,over_under,-125.0,-111.0,,2025-12-02T02:00:46.126Z
175262622,18447122,56677785,rebet,rebounds,3.5,over_under,-143.0,100.0,,2025-12-02T02:00:46.126Z
175262623,18447122,1028029127,rebet,rebounds,7.5,over_under,-167.0,115.0,,2025-12-02T02:00:46.126Z
175262624,18447122,475,rebet,rebounds,7.5,over_under,-133.0,-105.0,,2025-12-02T02:00:46.126Z
175262625,18447122,192,rebet,rebounds,3.5,over_under,-154.0,110.0,,2025-12-02T02:00:46.126Z
175262626,18447122,274,rebet,rebounds,4.5,over_under,-154.0,110.0,,2025-12-02T02:00:46.126Z
175262627,18447122,380,rebet,rebounds,2.5,over_under,160.0,-238.0,,2025-12-02T02:00:46.126Z
175262628,18447122,493,rebet,rebounds,12.5,over_under,115.0,-167.0,,2025-12-02T02:00:46.126Z
175262629,18447122,139,rebet,rebounds,3.5,over_under,150.0,-222.0,,2025-12-02T02:00:46.126Z
175262630,18447122,666633,rebet,threes,2.5,over_under,-250.0,170.0,,2025-12-02T02:00:46.126Z
175262631,18447122,475,rebet,threes,1.5,over_under,-143.0,-105.0,,2025-12-02T02:00:46.126Z
175262632,18447122,192,rebet,threes,2.5,over_under,105.0,-154.0,,2025-12-02T02:00:46.126Z
175262633,18447122,274,rebet,threes,0.5,over_under,-182.0,125.0,,2025-12-02T02:00:46.126Z
175262634,18447122,380,rebet,threes,3.5,over_under,-250.0,165.0,,2025-12-02T02:00:46.126Z
175856428,18447122,274,draftkings,rebounds,7.5,over_under,325.0,-475.0,,2025-12-02T02:53:05.302Z
233817437,18447136,192,rebet,points,27.5,over_under,-118.0,-125.0,,2025-12-04T02:13:45.871Z
307637054,18447156,101,rebet,blocks,0.5,milestone,,,-526.0,2025-12-06T00:59:47.697Z
307637055,18447156,101,rebet,blocks,1.5,milestone,,,133.0,2025-12-06T00:59:47.697Z
307637056,18447156,101,rebet,blocks,2.5,milestone,,,360.0,2025-12-06T00:59:47.697Z
307637057,18447156,101,rebet,blocks,3.5,milestone,,,1100.0,2025-12-06T00:59:47.697Z
307637058,18447156,101,rebet,blocks,4.5,milestone,,,4500.0,2025-12-06T00:59:47.697Z
307637059,18447156,231,rebet,blocks,0.5,milestone,,,-255.0,2025-12-06T00:59:47.697Z
307637060,18447156,231,rebet,blocks,1.5,milestone,,,244.0,2025-12-06T00:59:47.697Z
307637061,18447156,231,rebet,blocks,2.5,milestone,,,640.0,2025-12-06T00:59:47.697Z
307637062,18447156,231,rebet,blocks,3.5,milestone,,,1575.0,2025-12-06T00:59:47.697Z
307637063,18447156,231,rebet,blocks,4.5,milestone,,,6400.0,2025-12-06T00:59:47.697Z
307637064,18447156,38017731,rebet,blocks,0.5,milestone,,,-128.0,2025-12-06T00:59:47.697Z
