prop_id,game_id,player_id,vendor,prop_type,line_value,market_type,over_odds,under_odds,milestone_odds,updated_at
1817219,18447061,4,betrivers,points,20,milestone,,,-129.0,2025-11-23T20:06:23.444Z
1817220,18447061,3547254,betrivers,points,30,milestone,,,-136.0,2025-11-23T20:06:23.444Z
1817221,18447061,380,betrivers,points,32,milestone,,,-165.0,2025-11-23T20:06:23.444Z
1817222,18447061,380,betrivers,points,33,milestone,,,105.0,2025-11-23T20:06:23.444Z
1817223,18447061,17895858,betrivers,points,17,milestone,,,107.0,2025-11-23T20:06:23.444Z
1817224,18447061,17895858,betrivers,points,16,milestone,,,104.0,2025-11-23T20:06:23.444Z
1817225,18447061,1028029127,betrivers,points,22,milestone,,,102.0,2025-11-23T20:06:23.444Z
1817226,18447061,172,betrivers,points,13,milestone,,,-132.0,2025-11-23T20:06:23.444Z
1817227,18447061,4,betrivers,points,19,milestone,,,-186.0,2025-11-23T20:06:23.444Z
1817228,18447061,1028036986,betrivers,points,5,milestone,,,118.0,2025-11-23T20:06:23.444Z
1817229,18447061,1028029127,betrivers,points,21,milestone,,,-117.0,2025-11-23T20:06:23.444Z
1861124,18447061,17553994,draftkings,rebounds,9.5,over_under,800.0,-1600.0,,2025-11-23T20:20:01.960Z
1861125,18447061,1028036986,draftkings,rebounds,5.5,over_under,500.0,-810.0,,2025-11-23T20:20:01.960Z
154921534,18447113,666400,rebet,points,23.5,over_under,-105.0,-133.0,,2025-12-01T00:57:46.238Z
154921535,18447113,3547254,rebet,points,25.5,over_under,-125.0,-111.0,,2025-12-01T00:57:46.238Z
154921536,18447113,17896040,rebet,points,24.5,over_under,-143.0,100.0,,2025-12-01T00:57:46.238Z
155458072,18447113,17896040,draftkings,points,41.5,over_under,340.0,-500.0,,2025-12-01T02:14:48.113Z
155458073,18447113,17896040,draftkings,rebounds,14.5,over_under,850.0,-1750.0,,2025-12-01T02:14:48.113Z
197412042,18447127,3547254,rebet,points,27.5,over_under,-125.0,-118.0,,2025-12-03T01:26:46.853Z
197412043,18447127,56677831,rebet,points,7.5,over_under,-125.0,-118.0,,2025-12-03T01:26:46.853Z
197412044,18447127,1028027372,rebet,points,17.5,over_under,-111.0,-133.0,,2025-12-03T01:26:46.853Z
197412045,18447127,1028025235,rebet,points,5.5,over_under,-133.0,-105.0,,2025-12-03T01:26:46.853Z
197412046,18447127,1028026060,rebet,points,15.5,over_under,-111.0,-133.0,,2025-12-03T01:26:46.853Z
197412047,18447127,1028214238,rebet,points,13.5,over_under,-154.0,105.0,,2025-12-03T01:26:46.853Z
197412048,18447127,1057261935,rebet,points,7.5,over_under,100.0,-143.0,,2025-12-03T01:26:46.853Z
197412049,18447127,303,rebet,points,11.5,over_under,-133.0,-105.0,,2025-12-03T01:26:46.853Z
197412050,18447127,3547254,rebet,assists,7.5,over_under,110.0,-154.0,,2025-12-03T01:26:46.853Z
197412051,18447127,1028027372,rebet,assists,5.5,over_under,155.0,-222.0,,2025-12-03T01:26:46.853Z
197412052,18447127,1028025235,rebet,assists,5.5,over_under,145.0,-213.0,,2025-12-03T01:26:46.853Z
197412053,18447127,1028026060,rebet,assists,4.5,over_under,110.0,-154.0,,2025-12-03T01:26:46.853Z
197412054,18447127,303,rebet,assists,5.5,over_under,170.0,-250.0,,2025-12-03T01:26:46.853Z
197412055,18447127,1028026060,rebet,rebounds,8.5,over_under,-105.0,-133.0,,2025-12-03T01:26:46.853Z
