stat_id,game_id,game_date,player_id,player_name,player_position,team_id,team_abbr,min,pts,reb,ast,stl,blk,turnover,pf,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,plus_minus
28790594,18447402,2026-01-16,1028035897,Johnny Furphy,G,12,IND,29,7,4,2,1,1,1,2,3,8,0.375,1,4,0.25,0,0,0.0,1,3,6
28790595,18447402,2026-01-16,416,Pascal Siakam,F,12,IND,34,27,6,5,0,1,1,2,11,22,0.5,4,8,0.5,1,2,0.5,0,6,11
28790596,18447402,2026-01-16,17896103,Jay Huff,F-C,12,IND,29,29,9,1,2,2,0,3,13,17,0.7647059,3,6,0.5,0,0,0.0,3,6,13
28790597,18447402,2026-01-16,3547250,Aaron Nesmith,G-F,12,IND,33,12,4,1,1,0,0,4,5,13,0.3846154,2,8,0.25,0,1,0.0,1,3,-4
28790598,18447402,2026-01-16,38017507,Andrew Nembhard,G-F,12,IND,33,19,3,10,0,0,3,2,7,13,0.5384616,2,6,0.3333333,3,3,1.0,0,3,9
28790599,18447402,2026-01-16,60,Tony Bradley,C,12,IND,19,3,9,3,0,2,0,1,1,4,0.25,0,0,0.0,1,2,0.5,5,4,-5
28790600,18447402,2026-01-16,44477085,Quenton Jackson,G,12,IND,11,12,2,1,1,0,1,2,5,7,0.7142857,0,1,0.0,2,2,1.0,1,1,8
28790601,18447402,2026-01-16,1057389374,Kam Jones,G,12,IND,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790602,18447402,2026-01-16,304,T.J. McConnell,G,12,IND,16,8,2,9,0,0,1,1,4,8,0.5,0,1,0.0,0,0,0.0,0,2,1
28790603,18447402,2026-01-16,19465584,Micah Potter,F,12,IND,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790604,18447402,2026-01-16,56677861,Ben Sheppard,G,12,IND,15,4,3,2,0,0,0,1,1,4,0.25,1,4,0.25,1,2,0.5,2,1,-1
28790605,18447402,2026-01-16,17896117,Ethan Thompson,G,12,IND,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790606,18447402,2026-01-16,56677832,Jarace Walker,F,12,IND,21,6,1,3,0,1,0,4,2,5,0.4,2,5,0.4,0,0,0.0,0,1,2
28790607,18447402,2026-01-16,3547245,Tyrese Haliburton,G,12,IND,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790608,18447402,2026-01-16,17896035,Isaiah Jackson,F,12,IND,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790609,18447402,2026-01-16,38017686,Bennedict Mathurin,G-F,12,IND,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790610,18447402,2026-01-16,1057395638,Taelon Peter,G,12,IND,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790611,18447402,2026-01-16,3547243,Obi Toppin,F,12,IND,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790612,18447402,2026-01-16,3547256,Saddiq Bey,F,19,NOP,32,20,4,1,0,0,0,3,6,10,0.6,2,3,0.6666667,6,8,0.75,0,4,0
28790613,18447402,2026-01-16,666969,Zion Williamson,F,19,NOP,33,27,6,7,1,0,3,3,10,12,0.8333333,0,0,0.0,7,10,0.7,0,6,3
28790614,18447402,2026-01-16,1057274415,Derik Queen,C,19,NOP,28,14,12,3,0,0,1,1,5,11,0.4545455,0,0,0.0,4,4,1.0,4,8,-2
28790615,18447402,2026-01-16,18677986,Trey Murphy III,F,19,NOP,38,22,4,5,1,1,1,3,7,21,0.3333333,5,14,0.3571429,3,4,0.75,1,3,1
28790616,18447402,2026-01-16,1057267077,Jeremiah Fears,G,19,NOP,31,16,6,5,2,0,0,2,5,9,0.5555556,2,4,0.5,4,4,1.0,0,6,8
28790617,18447402,2026-01-16,1028203085,Trey Alexander,G,19,NOP,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790618,18447402,2026-01-16,56677837,Jordan Hawkins,G,19,NOP,10,0,2,0,0,0,0,0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,-9
28790619,18447402,2026-01-16,250,DeAndre Jordan,C,19,NOP,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790620,18447402,2026-01-16,282,Kevon Looney,F,19,NOP,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790621,18447402,2026-01-16,1028245777,Karlo Matkovic,F-C,19,NOP,15,3,2,0,0,0,0,1,1,4,0.25,1,2,0.5,0,0,0.0,0,2,-11
28790622,18447402,2026-01-16,38017708,Bryce McGowens,G,19,NOP,16,4,1,0,0,0,0,1,2,3,0.6666667,0,1,0.0,0,0,0.0,0,1,-10
28790623,18447402,2026-01-16,1028027567,Yves Missi,C,19,NOP,20,2,3,0,0,3,2,1,1,3,0.3333333,0,1,0.0,0,0,0.0,3,0,-6
28790624,18447402,2026-01-16,1057390538,Micah Peavy,G-F,19,NOP,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790625,18447402,2026-01-16,666848,Jordan Poole,G,19,NOP,17,11,2,1,0,0,1,1,4,7,0.5714286,3,4,0.75,0,0,0.0,0,2,-14
28790626,18447402,2026-01-16,17896097,Jose Alvarado,G,19,NOP,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790627,18447402,2026-01-16,1057845705,Hunter Dickinson,C,19,NOP,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790628,18447402,2026-01-16,17896024,Herbert Jones,F,19,NOP,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790629,18447402,2026-01-16,334,Dejounte Murray,G,19,NOP,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
28790846,18447403,2026-01-16,172,Paul George,F,23,PHI,30,14,4,5,2,0,1,1,6,12,0.5,2,6,0.3333333,0,0,0.0,0,4,9
28790847,18447403,2026-01-16,38017730,Dominick Barlow,F,23,PHI,17,2,2,0,3,1,0,0,1,3,0.3333333,0,0,0.0,0,0,0.0,2,0,4
28790848,18447403,2026-01-16,145,Joel Embiid,F-C,23,PHI,33,33,5,3,0,1,1,0,10,22,0.4545455,2,3,0.6666667,11,12,0.9166667,3,2,9
28790849,18447403,2026-01-16,1057261935,VJ Edgecombe,G,23,PHI,35,10,4,4,0,1,3,4,4,5,0.8,2,2,1.0,0,0,0.0,1,3,-6
28790850,18447403,2026-01-16,3547254,Tyrese Maxey,G,23,PHI,39,22,5,9,5,2,2,1,9,23,0.391,2,8,0.25,2,2,1.0,1,4,-4
28790851,18447403,2026-01-16,1028034846,Adem Bona,F,23,PHI,15,4,4,0,0,3,1,2,2,3,0.6666667,0,0,0.0,0,0,0.0,2,2,-11
28790852,18447403,2026-01-16,137,Andre Drummond,C,23,PHI,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
