stat_id,game_id,game_date,player_id,player_name,player_position,team_id,team_abbr,min,pts,reb,ast,stl,blk,turnover,pf,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,plus_minus
20763484,18446830,2025-10-22,247,Derrick Jones Jr.,F-G,13,LAC,18,12,1,1,0,1,1,4,5,7,0.714,1,3,0.333,1,2,0.5,1,0,-12.0
20763485,18446830,2025-10-22,274,Kawhi Leonard,F,13,LAC,29,10,4,2,1,1,2,2,3,9,0.333,1,5,0.2,3,3,1.0,1,3,-25.0
20763491,18446830,2025-10-22,493,Ivica Zubac,C,13,LAC,27,19,7,3,0,1,2,0,9,13,0.692,0,0,,1,1,1.0,3,4,-21.0
20763495,18446830,2025-10-22,37,Bradley Beal,G,13,LAC,20,5,1,0,1,0,1,4,2,5,0.4,1,4,0.25,0,0,,0,1,-9.0
20763496,18446830,2025-10-22,192,James Harden,G,13,LAC,29,15,2,11,0,0,2,1,5,12,0.417,2,9,0.222,3,4,0.75,0,2,-21.0
20763501,18446830,2025-10-22,33,Nicolas Batum,F-G,13,LAC,15,3,2,1,1,1,0,4,1,4,0.25,1,4,0.25,0,0,,0,2,-14.0
20763590,18446830,2025-10-22,1057279105,Yanic Konan Niederhauser,C,13,LAC,4,4,1,0,0,0,0,0,1,1,1.0,0,0,,2,4,0.5,1,0,6.0
20763603,18446830,2025-10-22,53,Bogdan Bogdanovic,G,13,LAC,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20763604,18446830,2025-10-22,56677849,Kobe Brown,F,13,LAC,4,2,1,2,0,0,0,0,0,0,,0,0,,2,2,1.0,1,0,6.0
20763605,18446830,2025-10-22,1028035215,Cam Christie,G,13,LAC,8,5,2,1,0,0,0,0,1,4,0.25,1,2,0.5,2,2,1.0,1,1,11.0
20763614,18446830,2025-10-22,101,John Collins,F-C,13,LAC,28,14,7,1,1,2,2,1,6,12,0.5,1,2,0.5,1,2,0.5,3,4,0.0
20763620,18446830,2025-10-22,139,Kris Dunn,G,13,LAC,22,0,5,1,1,0,2,0,0,3,0.0,0,1,0.0,0,0,,2,3,-20.0
20763622,18446830,2025-10-22,283,Brook Lopez,C,13,LAC,17,15,3,0,1,0,2,3,5,12,0.417,5,11,0.455,0,0,,1,2,-6.0
20763656,18446830,2025-10-22,367,Chris Paul,G,13,LAC,15,4,1,4,1,0,1,2,1,5,0.2,1,4,0.25,1,1,1.0,1,0,-6.0
20763657,18446830,2025-10-22,1057396055,Kobe Sanders,G,13,LAC,4,0,1,1,1,0,0,0,0,1,0.0,0,0,,0,0,,0,1,6.0
20763658,18446830,2025-10-22,56677856,Jordan Miller,G,13,LAC,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
20763659,18446830,2025-10-22,1057849029,Jahmyl Telfort,,13,LAC,00,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,
