player_id,player_name,season,season_type,category,stat_type,l,w,gp,pf,age,ast,blk,dd2,fga,fgm,fta,ftm,min,pfd,pts,reb,stl,td3,tov,blka,dreb,fg3a,fg3m,oreb,w_pct,fg_pct,ft_pct,l_rank,w_rank,fg3_pct,gp_rank,pf_rank,ast_rank,blk_rank,dd2_rank,fga_rank,fgm_rank,fta_rank,ftm_rank,min_rank,pfd_rank,pts_rank,reb_rank,stl_rank,td3_rank,tov_rank,blka_rank,dreb_rank,fg3a_rank,fg3m_rank,oreb_rank,plus_minus,team_count,w_pct_rank,fg_pct_rank,ft_pct_rank,fg3_pct_rank,nba_fantasy_pts,plus_minus_rank,nba_fantasy_pts_rank,pie,pace,poss,ast_to,e_pace,fga_pg,fgm_pg,ts_pct,ast_pct,efg_pct,reb_pct,usg_pct,dreb_pct,oreb_pct,pie_rank,ast_ratio,e_tov_pct,e_usg_pct,pace_rank,def_rating,net_rating,off_rating,pace_per40,tm_tov_pct,ast_to_rank,e_pace_rank,fga_pg_rank,fgm_pg_rank,ts_pct_rank,ast_pct_rank,e_def_rating,e_net_rating,e_off_rating,efg_pct_rank,reb_pct_rank,sp_work_pace,usg_pct_rank,dreb_pct_rank,oreb_pct_rank,ast_ratio_rank,e_tov_pct_rank,e_usg_pct_rank,def_rating_rank,net_rating_rank,off_rating_rank,tm_tov_pct_rank,e_def_rating_rank,e_net_rating_rank,e_off_rating_rank,sp_work_pace_rank,sp_work_def_rating,sp_work_net_rating,sp_work_off_rating,sp_work_def_rating_rank,sp_work_net_rating_rank,sp_work_off_rating_rank,pct_pts_fb,pct_pts_ft,pct_ast_2pm,pct_ast_3pm,pct_ast_fgm,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_3pt,pct_uast_2pm,pct_uast_3pm,pct_uast_fgm,pct_pts_paint,pct_pts_2pt_mr,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov,pct_ast_2pm_rank,pct_ast_3pm_rank,pct_ast_fgm_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_3pt_rank,pct_uast_2pm_rank,pct_uast_3pm_rank,pct_uast_fgm_rank,pct_pts_paint_rank,pct_pts_2pt_mr_rank,pct_pts_off_tov_rank,def_ws,pct_blk,pct_stl,pct_dreb,def_ws_raw,opp_pts_fb,def_ws_rank,pct_blk_rank,pct_stl_rank,opp_pts_paint,pct_dreb_rank,opp_pts_fb_rank,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,pct_pf,pct_ast,pct_fga,pct_fgm,pct_fta,pct_ftm,pct_pfd,pct_pts,pct_reb,pct_tov,pct_blka,pct_fg3a,pct_fg3m,pct_oreb,pct_pf_rank,pct_ast_rank,pct_fga_rank,pct_fgm_rank,pct_fta_rank,pct_ftm_rank,pct_pfd_rank,pct_pts_rank,pct_reb_rank,pct_tov_rank,pct_blka_rank,pct_fg3a_rank,pct_fg3m_rank,pct_oreb_rank,40+_ft._fga,40+_ft._fgm,5-9_ft._fga,5-9_ft._fgm,10-14_ft._fga,10-14_ft._fgm,15-19_ft._fga,15-19_ft._fgm,20-24_ft._fga,20-24_ft._fgm,25-29_ft._fga,25-29_ft._fgm,30-34_ft._fga,30-34_ft._fgm,35-39_ft._fga,35-39_ft._fgm,40+_ft._fg_pct,5-9_ft._fg_pct,10-14_ft._fg_pct,15-19_ft._fg_pct,20-24_ft._fg_pct,25-29_ft._fg_pct,30-34_ft._fg_pct,35-39_ft._fg_pct,less_than_5_ft._fga,less_than_5_ft._fgm,less_than_5_ft._fg_pct,corner_3_fga,corner_3_fgm,backcourt_fga,backcourt_fgm,mid-range_fga,mid-range_fgm,corner_3_fg_pct,backcourt_fg_pct,mid-range_fg_pct,left_corner_3_fga,left_corner_3_fgm,right_corner_3_fga,right_corner_3_fgm,restricted_area_fga,restricted_area_fgm,left_corner_3_fg_pct,above_the_break_3_fga,above_the_break_3_fgm,right_corner_3_fg_pct,restricted_area_fg_pct,above_the_break_3_fg_pct,in_the_paint_(non-ra)_fga,in_the_paint_(non-ra)_fgm,in_the_paint_(non-ra)_fg_pct,ppp,fgmx,poss_pct,play_type,season_id,team_name,percentile,ft_poss_pct,sf_poss_pct,tov_poss_pct,type_grouping,score_poss_pct,plusone_poss_pct,drives,drive_pf,drive_ast,drive_fga,drive_fgm,drive_fta,drive_ftm,drive_pts,drive_tov,drive_fg_pct,drive_ft_pct,drive_passes,drive_pf_pct,drive_ast_pct,drive_pts_pct,drive_tov_pct,drive_passes_pct,ft_ast,ast_adj,passes_made,potential_ast,secondary_ast,ast_to_pass_pct,passes_received,ast_points_created,ast_to_pass_pct_adj,reb_chances,reb_contest,avg_reb_dist,dreb_chances,dreb_contest,oreb_chances,oreb_contest,avg_dreb_dist,avg_oreb_dist,reb_uncontest,dreb_uncontest,oreb_uncontest,reb_chance_pct,dreb_chance_pct,oreb_chance_pct,reb_contest_pct,dreb_contest_pct,oreb_contest_pct,reb_chance_defer,dreb_chance_defer,oreb_chance_defer,reb_chance_pct_adj,dreb_chance_pct_adj,oreb_chance_pct_adj,def_rim_fga,def_rim_fgm,def_rim_fg_pct,g,box_outs,def_boxouts,deflections,off_boxouts,charges_drawn,screen_assists,screen_ast_pts,contested_shots,pct_box_outs_def,pct_box_outs_off,pct_box_outs_reb,box_out_player_rebs,contested_shots_2pt,contested_shots_3pt,loose_balls_recovered,pct_box_outs_team_reb,box_out_player_team_rebs,def_loose_balls_recovered,off_loose_balls_recovered,pct_loose_balls_recovered_def,pct_loose_balls_recovered_off
37,Bradley Beal,2025,regular,general,base,4.0,2.0,6.0,2.3,32.0,1.7,0.0,0.0,8.0,3.0,1.3,1.0,20.2,1.8,8.2,0.8,0.5,0.0,1.5,0.2,0.5,3.2,1.2,0.3,0.333,0.375,0.75,445.0,463.0,0.368,466.0,105.0,234.0,458.0,209.0,184.0,226.0,247.0,239.0,238.0,165.0,228.0,471.0,330.0,25.0,136.0,389.0,478.0,210.0,190.0,410.0,-3.8,1.0,389.0,435.0,280.0,168.0,11.7,452.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Brook Lopez,2025,regular,general,base,19.0,22.0,41.0,1.7,37.0,0.9,1.0,0.0,5.8,2.1,0.7,0.6,17.1,1.0,6.3,2.6,0.5,0.0,0.8,0.1,2.3,4.2,1.4,0.3,0.537,0.37,0.867,160.0,151.0,0.335,169.0,265.0,363.0,40.0,209.0,255.0,307.0,363.0,338.0,295.0,277.0,284.0,301.0,345.0,25.0,297.0,425.0,259.0,148.0,155.0,409.0,0.2,1.0,231.0,446.0,87.0,269.0,14.5,224.0,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028035215,Cam Christie,2025,regular,general,base,18.0,15.0,33.0,0.5,20.0,0.6,0.1,0.0,2.9,1.2,1.2,0.9,10.1,0.7,3.6,1.7,0.2,0.0,0.5,0.2,1.4,1.2,0.3,0.4,0.455,0.406,0.75,189.0,255.0,0.289,277.0,489.0,419.0,437.0,209.0,400.0,409.0,275.0,270.0,411.0,358.0,391.0,393.0,434.0,25.0,400.0,343.0,370.0,391.0,382.0,398.0,1.5,1.0,320.0,378.0,280.0,365.0,7.1,147.0,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Chris Paul,2025,regular,general,base,12.0,4.0,16.0,1.4,40.0,3.3,0.0,0.0,3.5,1.1,0.1,0.1,14.2,0.4,2.9,1.8,0.7,0.0,1.0,0.2,1.4,1.9,0.6,0.4,0.25,0.321,0.5,319.0,430.0,0.333,410.0,315.0,106.0,458.0,209.0,363.0,418.0,482.0,479.0,346.0,419.0,421.0,390.0,236.0,25.0,228.0,367.0,368.0,309.0,310.0,394.0,-5.3,1.0,448.0,484.0,453.0,271.0,11.1,486.0,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Derrick Jones Jr.,2025,regular,general,base,10.0,7.0,17.0,2.1,28.0,1.2,1.1,0.0,6.9,3.8,1.8,1.4,24.2,1.8,10.4,2.6,0.8,0.0,0.8,0.4,1.8,3.2,1.3,0.9,0.412,0.556,0.774,364.0,393.0,0.4,404.0,166.0,310.0,37.0,209.0,216.0,181.0,186.0,182.0,182.0,175.0,180.0,297.0,195.0,25.0,281.0,252.0,320.0,200.0,172.0,203.0,-1.8,1.0,341.0,73.0,243.0,81.0,19.9,351.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Ivica Zubac,2025,regular,general,base,25.0,17.0,42.0,2.4,28.0,2.2,0.8,24.0,10.1,6.2,3.1,2.2,30.8,3.1,14.5,11.0,0.4,0.0,1.9,0.7,7.5,0.0,0.0,3.5,0.405,0.61,0.705,80.0,224.0,0.0,155.0,94.0,182.0,60.0,6.0,130.0,71.0,98.0,115.0,74.0,71.0,103.0,8.0,382.0,25.0,90.0,81.0,10.0,485.0,454.0,9.0,0.2,1.0,346.0,42.0,342.0,454.0,32.9,221.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,James Harden,2025,regular,general,base,23.0,21.0,44.0,1.9,36.0,8.1,0.4,14.0,17.5,7.3,8.5,7.7,35.4,5.3,25.4,4.8,1.3,2.0,3.7,1.4,4.2,8.8,3.1,0.6,0.477,0.419,0.901,100.0,167.0,0.347,115.0,213.0,6.0,202.0,21.0,19.0,39.0,7.0,3.0,11.0,17.0,20.0,134.0,50.0,9.0,4.0,4.0,87.0,7.0,14.0,298.0,0.5,1.0,303.0,357.0,51.0,238.0,44.7,207.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,John Collins,2025,regular,general,base,25.0,20.0,45.0,2.7,28.0,0.9,0.8,2.0,9.3,5.2,2.0,1.6,27.5,2.0,13.5,4.9,0.9,0.0,1.3,0.7,3.5,3.4,1.4,1.4,0.444,0.557,0.793,80.0,183.0,0.43,95.0,55.0,357.0,64.0,116.0,149.0,112.0,162.0,161.0,133.0,144.0,126.0,128.0,160.0,25.0,170.0,95.0,139.0,191.0,151.0,114.0,0.7,1.0,327.0,69.0,201.0,43.0,24.5,187.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Kawhi Leonard,2025,regular,general,base,16.0,19.0,35.0,1.3,34.0,3.6,0.6,4.0,19.4,9.6,6.1,5.6,32.9,5.0,27.6,6.2,2.0,0.0,2.1,0.6,5.2,7.1,2.8,1.0,0.543,0.495,0.921,241.0,201.0,0.391,248.0,337.0,92.0,110.0,84.0,9.0,10.0,26.0,19.0,42.0,22.0,9.0,71.0,3.0,25.0,73.0,125.0,46.0,27.0,27.0,161.0,3.4,1.0,224.0,149.0,38.0,108.0,46.2,72.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56677849,Kobe Brown,2025,regular,general,base,19.0,13.0,32.0,0.5,26.0,0.8,0.1,0.0,2.4,0.9,0.8,0.7,8.8,0.8,2.8,1.6,0.3,0.0,0.4,0.3,1.1,1.4,0.3,0.6,0.406,0.372,0.808,160.0,282.0,0.244,292.0,487.0,374.0,434.0,209.0,431.0,445.0,345.0,332.0,427.0,352.0,429.0,402.0,418.0,25.0,428.0,288.0,409.0,362.0,379.0,316.0,-2.6,1.0,345.0,443.0,176.0,410.0,6.7,406.0,431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
