player_id,player_name,season,season_type,category,stat_type,l,w,gp,pf,age,ast,blk,dd2,fga,fgm,fta,ftm,min,pfd,pts,reb,stl,td3,tov,blka,dreb,fg3a,fg3m,oreb,w_pct,fg_pct,ft_pct,l_rank,w_rank,fg3_pct,gp_rank,pf_rank,ast_rank,blk_rank,dd2_rank,fga_rank,fgm_rank,fta_rank,ftm_rank,min_rank,pfd_rank,pts_rank,reb_rank,stl_rank,td3_rank,tov_rank,blka_rank,dreb_rank,fg3a_rank,fg3m_rank,oreb_rank,plus_minus,team_count,w_pct_rank,fg_pct_rank,ft_pct_rank,fg3_pct_rank,nba_fantasy_pts,plus_minus_rank,nba_fantasy_pts_rank,pie,pace,poss,ast_to,e_pace,fga_pg,fgm_pg,ts_pct,ast_pct,efg_pct,reb_pct,usg_pct,dreb_pct,oreb_pct,pie_rank,ast_ratio,e_tov_pct,e_usg_pct,pace_rank,def_rating,net_rating,off_rating,pace_per40,tm_tov_pct,ast_to_rank,e_pace_rank,fga_pg_rank,fgm_pg_rank,ts_pct_rank,ast_pct_rank,e_def_rating,e_net_rating,e_off_rating,efg_pct_rank,reb_pct_rank,sp_work_pace,usg_pct_rank,dreb_pct_rank,oreb_pct_rank,ast_ratio_rank,e_tov_pct_rank,e_usg_pct_rank,def_rating_rank,net_rating_rank,off_rating_rank,tm_tov_pct_rank,e_def_rating_rank,e_net_rating_rank,e_off_rating_rank,sp_work_pace_rank,sp_work_def_rating,sp_work_net_rating,sp_work_off_rating,sp_work_def_rating_rank,sp_work_net_rating_rank,sp_work_off_rating_rank,pct_pts_fb,pct_pts_ft,pct_ast_2pm,pct_ast_3pm,pct_ast_fgm,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_3pt,pct_uast_2pm,pct_uast_3pm,pct_uast_fgm,pct_pts_paint,pct_pts_2pt_mr,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov,pct_ast_2pm_rank,pct_ast_3pm_rank,pct_ast_fgm_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_3pt_rank,pct_uast_2pm_rank,pct_uast_3pm_rank,pct_uast_fgm_rank,pct_pts_paint_rank,pct_pts_2pt_mr_rank,pct_pts_off_tov_rank,def_ws,pct_blk,pct_stl,pct_dreb,def_ws_raw,opp_pts_fb,def_ws_rank,pct_blk_rank,pct_stl_rank,opp_pts_paint,pct_dreb_rank,opp_pts_fb_rank,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,pct_pf,pct_ast,pct_fga,pct_fgm,pct_fta,pct_ftm,pct_pfd,pct_pts,pct_reb,pct_tov,pct_blka,pct_fg3a,pct_fg3m,pct_oreb,pct_pf_rank,pct_ast_rank,pct_fga_rank,pct_fgm_rank,pct_fta_rank,pct_ftm_rank,pct_pfd_rank,pct_pts_rank,pct_reb_rank,pct_tov_rank,pct_blka_rank,pct_fg3a_rank,pct_fg3m_rank,pct_oreb_rank,40+_ft._fga,40+_ft._fgm,5-9_ft._fga,5-9_ft._fgm,10-14_ft._fga,10-14_ft._fgm,15-19_ft._fga,15-19_ft._fgm,20-24_ft._fga,20-24_ft._fgm,25-29_ft._fga,25-29_ft._fgm,30-34_ft._fga,30-34_ft._fgm,35-39_ft._fga,35-39_ft._fgm,40+_ft._fg_pct,5-9_ft._fg_pct,10-14_ft._fg_pct,15-19_ft._fg_pct,20-24_ft._fg_pct,25-29_ft._fg_pct,30-34_ft._fg_pct,35-39_ft._fg_pct,less_than_5_ft._fga,less_than_5_ft._fgm,less_than_5_ft._fg_pct,corner_3_fga,corner_3_fgm,backcourt_fga,backcourt_fgm,mid-range_fga,mid-range_fgm,corner_3_fg_pct,backcourt_fg_pct,mid-range_fg_pct,left_corner_3_fga,left_corner_3_fgm,right_corner_3_fga,right_corner_3_fgm,restricted_area_fga,restricted_area_fgm,left_corner_3_fg_pct,above_the_break_3_fga,above_the_break_3_fgm,right_corner_3_fg_pct,restricted_area_fg_pct,above_the_break_3_fg_pct,in_the_paint_(non-ra)_fga,in_the_paint_(non-ra)_fgm,in_the_paint_(non-ra)_fg_pct,ppp,fgmx,poss_pct,play_type,season_id,team_name,percentile,ft_poss_pct,sf_poss_pct,tov_poss_pct,type_grouping,score_poss_pct,plusone_poss_pct,drives,drive_pf,drive_ast,drive_fga,drive_fgm,drive_fta,drive_ftm,drive_pts,drive_tov,drive_fg_pct,drive_ft_pct,drive_passes,drive_pf_pct,drive_ast_pct,drive_pts_pct,drive_tov_pct,drive_passes_pct,ft_ast,ast_adj,passes_made,potential_ast,secondary_ast,ast_to_pass_pct,passes_received,ast_points_created,ast_to_pass_pct_adj,reb_chances,reb_contest,avg_reb_dist,dreb_chances,dreb_contest,oreb_chances,oreb_contest,avg_dreb_dist,avg_oreb_dist,reb_uncontest,dreb_uncontest,oreb_uncontest,reb_chance_pct,dreb_chance_pct,oreb_chance_pct,reb_contest_pct,dreb_contest_pct,oreb_contest_pct,reb_chance_defer,dreb_chance_defer,oreb_chance_defer,reb_chance_pct_adj,dreb_chance_pct_adj,oreb_chance_pct_adj,def_rim_fga,def_rim_fgm,def_rim_fg_pct,g,box_outs,def_boxouts,deflections,off_boxouts,charges_drawn,screen_assists,screen_ast_pts,contested_shots,pct_box_outs_def,pct_box_outs_off,pct_box_outs_reb,box_out_player_rebs,contested_shots_2pt,contested_shots_3pt,loose_balls_recovered,pct_box_outs_team_reb,box_out_player_team_rebs,def_loose_balls_recovered,off_loose_balls_recovered,pct_loose_balls_recovered_def,pct_loose_balls_recovered_off
1028034846,Adem Bona,2025,regular,general,base,16.0,23.0,39.0,2.1,22.0,0.2,1.4,1.0,2.5,1.4,1.6,1.1,16.3,1.5,3.9,3.9,0.3,0.0,0.8,0.3,2.3,0.1,0.1,1.7,0.59,0.557,0.656,241.0,123.0,0.4,199.0,157.0,493.0,20.0,145.0,429.0,386.0,204.0,233.0,308.0,210.0,382.0,192.0,400.0,25.0,300.0,287.0,260.0,467.0,443.0,81.0,-0.6,1.0,181.0,70.0,396.0,81.0,13.4,278.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Andre Drummond,2025,regular,general,base,17.0,20.0,37.0,2.0,32.0,0.8,0.9,11.0,5.3,2.6,1.6,1.0,19.6,1.5,6.8,8.7,0.5,0.0,0.9,0.2,5.3,1.3,0.5,3.4,0.541,0.5,0.633,213.0,183.0,0.362,230.0,180.0,391.0,58.0,30.0,271.0,263.0,207.0,236.0,250.0,204.0,273.0,23.0,312.0,25.0,262.0,340.0,39.0,379.0,348.0,11.0,-1.4,1.0,228.0,129.0,410.0,192.0,21.7,326.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38017730,Dominick Barlow,2025,regular,general,base,16.0,22.0,38.0,2.1,22.0,1.3,0.6,1.0,5.6,3.1,1.7,1.3,23.7,1.4,7.9,4.8,0.9,0.0,0.8,0.3,2.8,1.4,0.4,2.0,0.579,0.557,0.778,241.0,151.0,0.259,217.0,161.0,297.0,109.0,145.0,264.0,219.0,202.0,198.0,196.0,213.0,239.0,136.0,139.0,25.0,282.0,257.0,207.0,358.0,374.0,54.0,0.3,1.0,195.0,71.0,231.0,396.0,19.3,217.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38017711,Jabari Walker,2025,regular,general,base,19.0,24.0,43.0,1.7,23.0,0.5,0.3,1.0,3.3,1.3,1.0,0.7,12.5,0.9,3.8,3.2,0.4,0.0,0.4,0.4,2.0,1.5,0.4,1.2,0.558,0.408,0.727,160.0,109.0,0.27,134.0,261.0,452.0,274.0,145.0,380.0,389.0,306.0,305.0,371.0,321.0,384.0,248.0,387.0,25.0,424.0,240.0,293.0,353.0,368.0,135.0,0.6,1.0,215.0,376.0,325.0,389.0,9.8,191.0,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Joel Embiid,2025,regular,general,base,11.0,17.0,28.0,2.1,31.0,3.9,1.1,7.0,18.1,8.9,8.6,7.3,31.0,6.0,26.2,7.5,0.6,1.0,3.1,1.3,5.3,4.0,1.2,2.3,0.607,0.49,0.85,340.0,224.0,0.297,318.0,162.0,78.0,34.0,49.0,17.0,17.0,5.0,6.0,72.0,10.0,14.0,39.0,258.0,16.0,22.0,6.0,41.0,160.0,187.0,44.0,4.6,1.0,156.0,159.0,115.0,358.0,43.2,44.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028214238,Justin Edwards,2025,regular,general,base,14.0,22.0,36.0,1.5,22.0,1.1,0.2,0.0,4.3,1.7,0.5,0.5,14.5,0.5,4.8,1.5,0.6,0.0,0.6,0.3,1.1,2.9,1.0,0.5,0.611,0.391,0.895,289.0,151.0,0.337,238.0,299.0,315.0,298.0,209.0,323.0,350.0,397.0,377.0,341.0,416.0,345.0,412.0,261.0,25.0,341.0,312.0,411.0,224.0,239.0,354.0,-3.2,1.0,152.0,414.0,56.0,266.0,10.3,432.0,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Kelly Oubre Jr.,2025,regular,general,base,11.0,15.0,26.0,2.6,30.0,1.4,0.7,3.0,10.6,5.2,2.7,2.0,32.0,2.6,14.2,4.7,1.1,0.0,1.3,0.8,3.8,4.7,1.7,0.8,0.577,0.495,0.729,340.0,255.0,0.369,346.0,61.0,282.0,92.0,96.0,121.0,110.0,122.0,132.0,55.0,106.0,110.0,143.0,80.0,25.0,176.0,62.0,122.0,116.0,109.0,213.0,0.1,1.0,198.0,150.0,322.0,167.0,25.9,232.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17895858,Quentin Grimes,2025,regular,general,base,20.0,24.0,44.0,2.0,25.0,3.7,0.4,2.0,9.7,4.2,3.2,2.8,30.2,2.8,13.1,3.8,1.0,0.0,1.9,0.4,3.2,5.5,1.9,0.6,0.545,0.434,0.859,141.0,109.0,0.343,115.0,180.0,84.0,174.0,116.0,141.0,165.0,91.0,84.0,88.0,92.0,133.0,197.0,123.0,25.0,88.0,227.0,167.0,80.0,91.0,287.0,0.6,1.0,221.0,311.0,98.0,253.0,25.5,197.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547254,Tyrese Maxey,2025,regular,general,base,20.0,26.0,46.0,2.1,25.0,6.9,0.9,5.0,21.8,10.3,5.8,5.2,39.0,4.1,29.2,4.2,2.0,0.0,2.4,0.9,3.9,8.8,3.4,0.3,0.565,0.472,0.885,141.0,72.0,0.389,76.0,146.0,16.0,57.0,67.0,3.0,6.0,32.0,27.0,1.0,37.0,6.0,173.0,5.0,25.0,46.0,33.0,115.0,8.0,7.0,428.0,1.9,1.0,209.0,203.0,71.0,115.0,50.6,128.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057261935,VJ Edgecombe,2025,regular,general,base,18.0,26.0,44.0,3.2,20.0,4.2,0.5,2.0,13.0,5.6,2.4,1.8,35.6,1.9,15.1,5.3,1.5,0.0,1.8,0.7,3.7,5.7,2.1,1.6,0.591,0.429,0.771,189.0,72.0,0.369,115.0,17.0,66.0,136.0,116.0,76.0,92.0,141.0,138.0,8.0,157.0,93.0,108.0,18.0,25.0,99.0,74.0,125.0,74.0,74.0,84.0,1.6,1.0,179.0,330.0,251.0,164.0,32.0,142.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
