team_id,team_abbr,team_name,team_conference,wins,losses,conference_rank,division_rank,home_record,road_record,season
18,MIN,Minnesota Timberwolves,West,31,19,5,3,17-8,14-11,2025
29,UTA,Utah Jazz,West,15,35,13,5,10-17,5-18,2025
21,OKC,Oklahoma City Thunder,West,39,11,1,1,21-4,18-6,2025
9,DET,Detroit Pistons,East,36,12,1,1,19-5,16-7,2025
20,NYK,New York Knicks,East,31,18,2,1,20-6,10-12,2025
27,SAS,San Antonio Spurs,West,33,16,2,1,17-6,15-10,2025
2,BOS,Boston Celtics,East,31,18,3,2,16-8,15-10,2025
8,DEN,Denver Nuggets,West,33,17,3,2,14-10,19-7,2025
11,HOU,Houston Rockets,West,30,17,4,2,17-4,13-13,2025
28,TOR,Toronto Raptors,East,30,21,4,3,14-11,16-10,2025
6,CLE,Cleveland Cavaliers,East,30,21,5,2,17-11,13-10,2025
14,LAL,Los Angeles Lakers,West,29,19,6,1,12-8,17-11,2025
23,PHI,Philadelphia 76ers,East,27,21,6,4,15-13,12-8,2025
24,PHX,Phoenix Suns,West,30,20,7,2,17-7,13-13,2025
16,MIA,Miami Heat,East,27,24,7,1,16-9,11-15,2025
10,GSW,Golden State Warriors,West,27,23,8,3,17-8,10-15,2025
22,ORL,Orlando Magic,East,25,23,8,2,14-8,10-13,2025
13,LAC,LA Clippers,West,23,25,9,4,13-9,10-16,2025
5,CHI,Chicago Bulls,East,24,26,9,3,15-11,9-15,2025
25,POR,Portland Trail Blazers,West,23,27,10,4,13-12,10-15,2025
1,ATL,Atlanta Hawks,East,24,27,10,3,9-14,15-13,2025
4,CHA,Charlotte Hornets,East,23,28,11,4,11-13,12-15,2025
7,DAL,Dallas Mavericks,West,19,30,11,3,14-14,5-15,2025
17,MIL,Milwaukee Bucks,East,18,29,12,4,9-12,9-17,2025
15,MEM,Memphis Grizzlies,West,18,29,12,4,9-15,8-13,2025
3,BKN,Brooklyn Nets,East,13,35,13,5,6-17,7-18,2025
19,NOP,New Orleans Pelicans,West,13,39,14,5,8-19,5-20,2025
30,WAS,Washington Wizards,East,13,35,14,5,9-16,4-19,2025
12,IND,Indiana Pacers,East,13,36,15,5,10-16,3-20,2025
26,SAC,Sacramento Kings,West,12,39,15,5,9-16,3-23,2025
