team_id,team_abbr,team_name,season,season_type,category,stat_type,l,w,gp,pf,ast,blk,fga,fgm,fta,ftm,min,pfd,pts,reb,stl,tov,blka,dreb,fg3a,fg3m,oreb,w_pct,fg_pct,ft_pct,l_rank,w_rank,fg3_pct,gp_rank,pf_rank,ast_rank,blk_rank,fga_rank,fgm_rank,fta_rank,ftm_rank,min_rank,pfd_rank,pts_rank,reb_rank,stl_rank,tov_rank,blka_rank,dreb_rank,fg3a_rank,fg3m_rank,oreb_rank,plus_minus,w_pct_rank,fg_pct_rank,ft_pct_rank,fg3_pct_rank,plus_minus_rank,pie,pace,poss,ast_to,e_pace,ts_pct,ast_pct,efg_pct,reb_pct,dreb_pct,oreb_pct,pie_rank,ast_ratio,pace_rank,def_rating,net_rating,off_rating,pace_per40,tm_tov_pct,ast_to_rank,ts_pct_rank,ast_pct_rank,e_def_rating,e_net_rating,e_off_rating,efg_pct_rank,reb_pct_rank,dreb_pct_rank,oreb_pct_rank,ast_ratio_rank,def_rating_rank,net_rating_rank,off_rating_rank,tm_tov_pct_rank,pct_pts_fb,pct_pts_ft,pct_ast_2pm,pct_ast_3pm,pct_ast_fgm,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_3pt,pct_uast_2pm,pct_uast_3pm,pct_uast_fgm,pct_pts_paint,pct_pts_2pt_mr,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov,pct_ast_2pm_rank,pct_ast_3pm_rank,pct_ast_fgm_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_3pt_rank,pct_uast_2pm_rank,pct_uast_3pm_rank,pct_uast_fgm_rank,pct_pts_paint_rank,pct_pts_2pt_mr_rank,pct_pts_off_tov_rank,opp_pf,opp_ast,opp_blk,opp_fga,opp_fgm,opp_fta,opp_ftm,opp_pfd,opp_pts,opp_reb,opp_stl,opp_tov,opp_blka,opp_dreb,opp_fg3a,opp_fg3m,opp_oreb,opp_fg_pct,opp_ft_pct,opp_fg3_pct,opp_pf_rank,opp_ast_rank,opp_blk_rank,opp_fga_rank,opp_fgm_rank,opp_fta_rank,opp_ftm_rank,opp_pfd_rank,opp_pts_rank,opp_reb_rank,opp_stl_rank,opp_tov_rank,opp_blka_rank,opp_dreb_rank,opp_fg3a_rank,opp_fg3m_rank,opp_oreb_rank,opp_fg_pct_rank,opp_ft_pct_rank,opp_fg3_pct_rank,opp_pts_fb,opp_pts_paint,opp_pts_fb_rank,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,40+_ft._fga,40+_ft._fgm,5-9_ft._fga,5-9_ft._fgm,10-14_ft._fga,10-14_ft._fgm,15-19_ft._fga,15-19_ft._fgm,20-24_ft._fga,20-24_ft._fgm,25-29_ft._fga,25-29_ft._fgm,30-34_ft._fga,30-34_ft._fgm,35-39_ft._fga,35-39_ft._fgm,40+_ft._fg_pct,5-9_ft._fg_pct,10-14_ft._fg_pct,15-19_ft._fg_pct,20-24_ft._fg_pct,25-29_ft._fg_pct,30-34_ft._fg_pct,35-39_ft._fg_pct,less_than_5_ft._fga,less_than_5_ft._fgm,less_than_5_ft._fg_pct,corner_3_fga,corner_3_fgm,backcourt_fga,backcourt_fgm,mid-range_fga,mid-range_fgm,corner_3_fg_pct,backcourt_fg_pct,mid-range_fg_pct,left_corner_3_fga,left_corner_3_fgm,right_corner_3_fga,right_corner_3_fgm,restricted_area_fga,restricted_area_fgm,left_corner_3_fg_pct,above_the_break_3_fga,above_the_break_3_fgm,right_corner_3_fg_pct,restricted_area_fg_pct,above_the_break_3_fg_pct,in_the_paint_(non-ra)_fga,in_the_paint_(non-ra)_fgm,in_the_paint_(non-ra)_fg_pct,ppp,fgmx,poss_pct,play_type,season_id,percentile,ft_poss_pct,sf_poss_pct,tov_poss_pct,type_grouping,score_poss_pct,plusone_poss_pct,def_rim_fga,def_rim_fgm,def_rim_fg_pct,reb_chances,reb_contest,avg_reb_dist,dreb_chances,dreb_contest,oreb_chances,oreb_contest,avg_dreb_dist,avg_oreb_dist,reb_uncontest,dreb_uncontest,oreb_uncontest,reb_chance_pct,dreb_chance_pct,oreb_chance_pct,reb_contest_pct,dreb_contest_pct,oreb_contest_pct,reb_chance_defer,dreb_chance_defer,oreb_chance_defer,reb_chance_pct_adj,dreb_chance_pct_adj,oreb_chance_pct_adj,box_outs,def_boxouts,deflections,off_boxouts,charges_drawn,screen_assists,screen_ast_pts,contested_shots,pct_box_outs_def,pct_box_outs_off,contested_shots_2pt,contested_shots_3pt,loose_balls_recovered,def_loose_balls_recovered,off_loose_balls_recovered,pct_loose_balls_recovered_def,pct_loose_balls_recovered_off
23,PHI,Philadelphia 76ers,2025,regular,general,base,21.0,27.0,48.0,20.4,24.9,5.8,90.4,41.5,25.4,20.6,48.8,20.5,116.7,43.6,9.0,13.9,5.2,31.5,36.2,13.0,12.1,0.563,0.46,0.812,11.0,13.0,0.359,21.0,22.0,26.0,4.0,11.0,18.0,8.0,4.0,1.0,13.0,12.0,18.0,8.0,6.0,21.0,24.0,20.0,19.0,10.0,0.9,13.0,23.0,6.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,Philadelphia 76ers,2025,regular,general,advanced,21.0,27.0,48.0,,,,,,,,2344.0,,,,,,,,,,,0.563,,,11.0,13.0,,21.0,,,,,,,,21.0,,,,,,,,,,,,13.0,,,,,0.5,99.79,4871.0,1.8,101.9,0.574,0.6,0.531,0.489,0.668,0.313,18.0,17.5,19.0,114.0,1.0,115.0,83.16,0.137,17.0,18.0,23.0,111.2,1.7,113.0,22.0,23.0,29.0,10.0,26.0,14.0,15.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,Philadelphia 76ers,2025,regular,general,scoring,21.0,27.0,48.0,,,,,,,,48.8,,,,,,,,,,,0.563,,,11.0,13.0,,21.0,,,,,,,,1.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,0.177,0.498,0.823,0.6,0.6,0.4,0.49,0.334,0.502,0.177,0.4,0.415,0.075,8.0,5.0,0.164,24.0,23.0,23.0,9.0,22.0,17.0,19.0,7.0,8.0,8.0,21.0,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,Philadelphia 76ers,2025,regular,general,opponent,21.0,27.0,48.0,,,,,,,,48.8,,,,,,,,,,,0.563,,,11.0,13.0,,21.0,,,,,,,,1.0,,,,,,,,,,,-0.9,13.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,27.5,5.2,90.1,42.1,24.2,18.8,20.4,115.8,45.2,7.3,15.5,5.8,33.0,36.3,12.8,12.1,0.467,0.778,0.353,18.0,24.0,21.0,20.0,14.0,19.0,17.0,9.0,17.0,22.0,3.0,9.0,4.0,17.0,12.0,13.0,25.0,15.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,Philadelphia 76ers,2025,regular,general,defense,21.0,27.0,48.0,,,5.8,,,,,48.8,,,,9.0,,,31.5,,,,0.563,,,11.0,13.0,,21.0,,,4.0,,,,,1.0,,,,8.0,,,24.0,,,,,13.0,,,,,,,,,,,,,,0.668,,,,,114.0,,,,,,,,,,,,,29.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,50.2,26.0,16.8,16.0,13.0,7.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,Philadelphia 76ers,2025,regular,shooting,5ft_range_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.2,3.3,6.4,2.6,6.2,2.7,11.3,4.1,25.6,9.2,0.4,0.1,0.0,0.0,1.0,0.405,0.405,0.441,0.366,0.36,0.238,0.0,32.1,19.4,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,Philadelphia 76ers,2025,regular,shooting,by_zone_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,3.0,0.0,0.0,10.3,4.3,0.365,1.0,0.422,4.5,1.5,3.7,1.5,29.6,18.3,0.34,28.0,10.0,0.395,0.618,0.357,14.3,5.9,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,Philadelphia 76ers,2025,regular,playtype,isolation,,,45.0,,,,9.6,4.0,,,,,10.5,,,,,,,,,,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.904,5.6,0.1,Isolation,22025,0.517,0.125,0.111,0.094,Offensive,0.425,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,Philadelphia 76ers,2025,regular,playtype,transition,,,45.0,,,,16.1,8.6,,,,,22.7,,,,,,,,,,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,0.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.112,7.5,0.177,Transition,22025,0.414,0.114,0.106,0.114,Offensive,0.514,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,Philadelphia 76ers,2025,regular,tracking,defense,21.0,27.0,48.0,,,5.8,,,,,244.2,,,,9.0,,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,17.9,0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
