team_id,name,full_name,abbreviation,city,conference,division
37,Chicago Stags,Chicago Stags,CHS,,    ,
38,St. Louis Bombers,St. Louis Bombers,BOM,,    ,
39,Cleveland Rebels,Cleveland Rebels,CLR,,    ,
40,Detroit Falcons,Detroit Falcons,DEF,,    ,
41,Toronto Huskies,Toronto Huskies,HUS,,    ,
42,Washington Capitols,Washington Capitols,WAS,,    ,
43,Providence Steamrollers,Providence Steamrollers,PRO,,    ,
44,Pittsburgh Ironmen,Pittsburgh Ironmen,PIT,,    ,
45,Baltimore Bullets,Baltimore Bullets,BAL,,    ,
46,Indianapolis Jets,Indianapolis Jets,JET,,    ,
47,Anderson Packers,Anderson Packers,AND,,    ,
48,Waterloo Hawks,Waterloo Hawks,WAT,,    ,
49,Indianapolis Olympians,Indianapolis Olympians,INO,,    ,
50,Denver Nuggets,Denver Nuggets,DN,,    ,
51,Sheboygan Redskins,Sheboygan Redskins,SHE,,    ,
